"","X","plus","mcmullen","state","locality","name","type","founding_date","em","ml","ce","de","sz","ld","vs","location","lon","lat","period"
"25",25,7619,95201,"AL","Montgomery","Alabama Supreme Court","Law state",NA,1859,1859,NA,NA,0,NA,0,"Montgomery AL",-86.2999689,32.3668052,NA
"26",26,3663,18,"AL","Selma","YMCA","YMCA",NA,1858,1875,NA,1875,600,1875,600,"Selma AL",-87.0211007,32.4073589,NA
"27",27,4372,17,"AL","Selma","Dalles Bar Library","Bar",1865,NA,1884,NA,NA,0,NA,0,"Selma AL",-87.0211007,32.4073589,NA
"28",28,6986,20,"AL","Talladaga","Institution for the Deaf and Dumb and the Blind","Asylum",1860,NA,1884,NA,NA,0,NA,0,"Talladaga AL",-86.1058048,33.4359416,"Antebellum"
"29",29,6235,21,"AL","Talladega","Talladega College","Coll",1875,NA,1884,NA,1875,300,1875,300,"Talladega AL",-86.1058048,33.4359416,NA
"30",30,5699,27,"AL","Tuscaloosa","University of Alabama - unnamed society","Coll socy",NA,1850,1850,NA,NA,0,NA,0,"Tuscaloosa AL",-87.5691735,33.2098407,NA
"31",31,6234,24,"AL","Tuscaloosa","Univ. of Alabama","Coll",1831,NA,1884,NA,1834,2000,1875,4000,"Tuscaloosa AL",-87.5691735,33.2098407,"Antebellum"
"32",32,6985,23,"AL","Tuscaloosa","Alabama Insane Hospital","Asylum",1860,NA,1884,NA,NA,0,NA,0,"Tuscaloosa AL",-87.5691735,33.2098407,"Antebellum"
"33",33,5700,26,"AL","Tuscaloosa","University of Alabama - Philomathic Society","Coll socy",1832,NA,1858,NA,1855,2200,1858,2500,"Tuscaloosa AL",-87.5691735,33.2098407,"Antebellum"
"34",34,4479,22,"AL","Tuscaloosa","Alaska Historical Society","Hist socl",1851,NA,1884,NA,1875,250,1875,250,"Tuscaloosa AL",-87.5691735,33.2098407,"Antebellum"
"35",35,5701,25,"AL","Tuscaloosa","University of Alabama - Erosophic Society","Coll socy",NA,1858,1858,NA,1858,2500,1858,2500,"Tuscaloosa AL",-87.5691735,33.2098407,NA
"36",36,7731,30,"AK","Sitka","Post Library","Garr",1868,NA,1875,NA,1875,596,1875,596,"Sitka AK",-135.33,57.0530556,NA
"37",37,7659,12012,"AR","","Fort Smith Post Library","Garr",NA,1870,1870,NA,1870,149,1870,149," AR",-91.8318334,35.20105,NA
"38",38,1870,35,"AR","Eagletown","Choctaw Natl Library","Socl",NA,1858,1859,NA,NA,0,NA,0,"Eagletown AR",-94.5749348,34.0342782,NA
"39",39,1871,36,"AR","Eldorado","Monticello Library","Socl",NA,1858,1858,NA,NA,0,NA,0,"Eldorado AR",-54.626812,-26.3999195,NA
"40",40,6231,37,"AR","Fayetteville","Arkansas Industrial University","Agri coll",1872,NA,1884,NA,1872,300,1875,300,"Fayetteville AR",-94.1574263,36.0625795,NA
"41",41,1872,38,"AR","Fort Smith","Public Library Assoc.","Socl",1875,NA,1875,NA,1875,275,1875,275,"Fort Smith AR",-94.3985475,35.3859242,NA
"42",42,7798,42,"AR","Little Rock","State Rock","State",1846,NA,1884,NA,1875,4000,1875,4000,"Little Rock AR",-92.2895948,34.7464809,"Antebellum"
"43",43,3259,41,"AR","Little Rock","Mercantile Library","Merc",1867,NA,1875,NA,1875,3024,1875,3024,"Little Rock AR",-92.2895948,34.7464809,NA
"44",44,3430,40,"AR","Little Rock","Lyceum Library","Lyceum",NA,1850,1858,NA,1850,1000,1858,1000,"Little Rock AR",-92.2895948,34.7464809,NA
"45",45,7623,43,"AR","Little Rock","Supreme Court","Law state",1836,NA,1884,NA,NA,0,NA,0,"Little Rock AR",-92.2895948,34.7464809,"Antebellum"
"46",46,5282,44,"AR","Little Rock","William Woodruff's Circulating Library","Comm",1843,NA,NA,1863,NA,0,NA,0,"Little Rock AR",-92.2895948,34.7464809,"Antebellum"
"47",47,2943,45,"AR","Van Buren","Young Men's Library","Young Men's",NA,1858,1858,NA,NA,0,NA,0,"Van Buren AR",-94.348268,35.436756,NA
"48",48,7716,12005,"AZ","","Camp Apache and Fort Apache","Garr",NA,NA,NA,NA,NA,0,NA,0," AZ",-111.0937311,34.0489281,NA
"49",49,7082,12024,"AZ","Arivaca","Cerro Colorado Mines","Mill",1862,NA,1862,NA,NA,0,NA,0,"Arivaca AZ",-111.3314522,31.5773351,NA
"50",50,7708,31,"AZ","Camp McDowell","Camp McDowell Post Library","Garr",1867,NA,1875,NA,1875,300,1875,300,"Camp McDowell AZ",-111.7495419,33.6850533,NA
"51",51,7712,12009,"AZ","Ft Grant","Fort Grant","Garr",NA,NA,NA,NA,NA,0,NA,0,"Ft Grant AZ",-109.9458693,32.6232694,NA
"52",52,7715,12006,"AZ","Ft. Bowie","Fort Bowie","Garr",NA,1875,1875,NA,NA,0,NA,0,"Ft. Bowie AZ",-109.4345747,32.1467719,NA
"53",53,7711,12007,"AZ","Ft. Buchanan","Fort Buchanan","Garr",NA,1861,1861,NA,NA,0,NA,0,"Ft. Buchanan AZ",-110.8628859,32.2995648,NA
"54",54,7710,128,"AZ","Ft. Crittenden","Fort Crittenden","Garr",NA,NA,NA,NA,NA,0,NA,0,"Ft. Crittenden AZ",-109.6919177,31.8864786,NA
"55",55,7714,12010,"AZ","Ft. Lowell","Fort Lowell","Garr",NA,NA,NA,NA,NA,0,NA,0,"Ft. Lowell AZ",-110.8747248,32.2597209,NA
"56",56,7713,12011,"AZ","Ft. Mojave","Fort Mojave","Garr",NA,1861,1861,NA,NA,0,NA,0,"Ft. Mojave AZ",-114.5892703,35.0224848,NA
"57",57,7709,32,"AZ","Ft. Whipple","Fort Whipple Regimental Library","Garr",1868,NA,1875,NA,1875,328,1875,328,"Ft. Whipple AZ",-112.4526688,34.5547464,NA
"58",58,4823,34,"AZ","St. Joseph","Muddy Agricultural and Gardeners' Club","Agri socl",1864,1867,1867,NA,NA,0,NA,0,"St. Joseph AZ",-112.0792341,33.4808707,NA
"59",59,7820,33,"AZ","Tucson","Territorial Library","Terr",1864,NA,1884,NA,1875,2600,1875,2600,"Tucson AZ",-110.926479,32.2217429,NA
"60",60,4032,200,"CA","","","Germ socl",NA,NA,NA,NA,NA,0,NA,0," CA",-119.4179324,36.778261,NA
"61",61,7487,12019,"CA","","Perisma Concepcion Mission Library","Church",NA,1835,1835,NA,1835,139,1835,139," CA",-119.4179324,36.778261,NA
"62",62,4217,46,"CA","Alameda","Odd Fellows' Library","Frat",NA,NA,NA,NA,NA,0,NA,0,"Alameda CA",-122.2416355,37.7652065,NA
"63",63,4218,47,"CA","Alvarado","Odd Fellows' Library","Frat",NA,NA,NA,NA,NA,0,NA,0,"Alvarado CA",-96.9961813,48.1941477,NA
"64",64,5373,48,"CA","Anaheim","Clark and Auston Circulating Library","Comm",1873,NA,1873,NA,NA,0,NA,0,"Anaheim CA",-117.9145036,33.8352932,NA
"65",65,7727,49,"CA","Angel Island","U.S. Military Post Library Assoc.","Garr",1869,NA,1876,NA,1875,776,1875,776,"Angel Island CA",-80.0783255,45.1715759,NA
"66",66,2500,50,"CA","Antioch","","Socl",1867,NA,1867,NA,NA,0,NA,0,"Antioch CA",-121.805789,38.0049214,NA
"67",67,5374,41082,"CA","Arcata","","Comm",NA,NA,NA,NA,NA,0,NA,0,"Arcata CA",-124.0828396,40.8665166,NA
"68",68,4219,51,"CA","Auburn","Odd Fellows' Library","Frat",1861,NA,1866,NA,NA,0,NA,0,"Auburn CA",-121.0768901,38.8965654,NA
"69",69,2501,52,"CA","Bend City","","Socl",NA,1864,1864,NA,NA,0,NA,0,"Bend City CA",-122.20993,40.257961,NA
"70",70,7729,12014,"CA","Benicia","Benicia Barracks","Garr",NA,1875,1875,NA,NA,0,NA,0,"Benicia CA",-122.1585777,38.049365,NA
"71",71,5376,53,"CA","Benicia","Benicia Circulating Library","Comm",NA,NA,NA,NA,NA,0,NA,0,"Benicia CA",-122.1585777,38.049365,NA
"72",72,6427,54,"CA","Benicio","Missionary College of St. Augustine","Coll",1870,NA,1884,NA,1875,600,1875,600,"Benicio CA",-122.1585777,38.049365,NA
"73",73,6406,58,"CA","Berkeley","University of California Agri. Mining and Mechanic Arts College","Agri coll",1869,NA,1918,NA,1870,2000,1875,12000,"Berkeley CA",-122.272747,37.8715926,NA
"74",74,7010,55,"CA","Berkeley","California School for the Deaf and Blind","Asylum",1860,NA,1918,NA,NA,0,NA,0,"Berkeley CA",-122.272747,37.8715926,"Antebellum"
"75",75,5814,57,"CA","Berkeley","College of California - Philornathean? Society","Coll socy",NA,1867,1867,NA,NA,0,NA,0,"Berkeley CA",-122.272747,37.8715926,NA
"76",76,5813,56,"CA","Berkeley","College of California - A Spanish literary group","Coll socy",NA,1867,1867,NA,NA,0,NA,0,"Berkeley CA",-122.272747,37.8715926,NA
"77",77,6405,12015,"CA","Berkeley","College of California","Coll",1862,NA,NA,1869,NA,0,NA,0,"Berkeley CA",-122.272747,37.8715926,NA
"78",78,2502,59,"CA","Bodega","","Socl",NA,1860,1860,NA,NA,0,NA,0,"Bodega CA",-122.9738878,38.345194,NA
"79",79,7728,12016,"CA","Camp Gaston","Camp Gaston Post Library","Garr",NA,1870,1870,NA,1870,201,1870,201,"Camp Gaston CA",-120.74056,39.39417,NA
"80",80,5381,145,"CA","Can Carlos","Circulating Library","Comm",NA,NA,NA,NA,NA,0,NA,0,"Can Carlos CA",1.4604976,38.9576357,NA
"81",81,2503,61,"CA","Cold Spring","Cold Spring Library","Socl",NA,1854,1858,NA,1856,180,1856,180,"Cold Spring CA",-120.8707656,38.7421014,NA
"82",82,3461,60,"CA","Cold Springs","Lyceum","Lyceum",NA,NA,NA,NA,NA,0,NA,0,"Cold Springs CA",-120.053241,38.162418,NA
"83",83,7158,62,"CA","Colorna","Metropolitan Saloon Reading Room","Read room",NA,1853,1853,NA,NA,0,NA,0,"Colorna CA",-117.5664384,33.8752935,NA
"84",84,7477,64,"CA","Columbia","Presbyterian Church","Church",NA,1852,1852,NA,NA,0,NA,0,"Columbia CA",-120.4013061,38.0363119,NA
"85",85,7159,63,"CA","Columbia","Library and Reading Room","Read room",NA,1854,1854,NA,1854,2000,1854,2000,"Columbia CA",-120.4013061,38.0363119,NA
"86",86,2504,65,"CA","Colusa","Colusa Library Assoc.","Socl",1867,NA,1876,NA,NA,0,NA,0,"Colusa CA",-122.0094175,39.2143343,NA
"87",87,5377,66,"CA","Cooperpolis","Circulating Library","Comm",NA,1866,1866,NA,NA,0,NA,0,"Cooperpolis CA",-120.6418716,37.9810358,NA
"88",88,3816,68,"CA","Crescent City","Union Club","Socy",1863,NA,1873,NA,1873,250,1873,250,"Crescent City CA",-124.2025913,41.7557501,NA
"89",89,2505,67,"CA","Crescent City","","Socl",NA,1850,1850,NA,NA,0,NA,0,"Crescent City CA",-124.2025913,41.7557501,NA
"90",90,2506,69,"CA","Davies","","Socl",NA,1872,1872,NA,NA,0,NA,0,"Davies CA",-121.7405167,38.5449065,NA
"91",91,7478,12017,"CA","Dolores","Mission Library - Dolores","Church",NA,1836,1836,NA,1836,190,1836,190,"Dolores CA",-118.2225221,33.8675021,NA
"92",92,4220,71,"CA","Downieville","Odd Fellows' Library","Frat",NA,1866,1866,NA,NA,0,NA,0,"Downieville CA",-120.8276966,39.5595198,NA
"93",93,2507,70,"CA","Downieville","Downieville Library Assoc.","Socl",NA,1858,1859,NA,NA,0,NA,0,"Downieville CA",-120.8276966,39.5595198,NA
"94",94,4221,72,"CA","Dutch Flat","Odd Fellows' Library","Frat",NA,1866,1866,NA,NA,0,NA,0,"Dutch Flat CA",-120.8378103,39.2059586,NA
"95",95,2508,73,"CA","El Dorado","","Socl",1860,NA,1860,NA,NA,0,NA,0,"El Dorado CA",-120.4357631,38.7426376,"Antebellum"
"96",96,2509,74,"CA","Eureka","Humboldt Library Assoc.","Socl",1859,NA,1859,NA,NA,0,NA,0,"Eureka CA",-124.1636729,40.8020712,"Antebellum"
"97",97,2510,75,"CA","Fresno","","Socl",1875,NA,1875,NA,NA,0,NA,0,"Fresno CA",-119.7725868,36.7468422,NA
"98",98,7730,12018,"CA","Ft. Yuma","Fort Yuma Post Library","Garr",NA,1875,1875,NA,NA,0,NA,0,"Ft. Yuma CA",-114.6341196,32.7583794,NA
"99",99,2512,77,"CA","Grass Valley","Grass Valley Library","Socl",1869,NA,1869,NA,NA,0,NA,0,"Grass Valley CA",-121.0610606,39.2190608,NA
"100",100,2511,76,"CA","Grass Valley","","Socl",NA,1860,1860,NA,NA,0,NA,0,"Grass Valley CA",-121.0610606,39.2190608,NA
"101",101,2513,78,"CA","Hawkin's Bar","","Socl",1854,NA,1854,NA,NA,0,NA,0,"Hawkin's Bar CA",-123.5228235,40.8701359,"Antebellum"
"102",102,2514,79,"CA","Heldsburg","","Socl",1875,NA,1875,NA,NA,0,NA,0,"Heldsburg CA",-122.8691609,38.6104658,NA
"103",103,4222,80,"CA","Jackson","Odd Fellows' Library","Frat",1865,NA,1865,NA,NA,0,NA,0,"Jackson CA",-120.7741018,38.3488023,NA
"104",104,2515,81,"CA","Jenny Lind","","Socl",NA,1862,1862,NA,NA,0,NA,0,"Jenny Lind CA",-120.868759,38.094173,NA
"105",105,2886,82,"CA","Knight's Ferry","Public Library","Ladies",1861,NA,1884,NA,1875,1650,1875,1650,"Knight's Ferry CA",-120.6721494,37.8196499,NA
"106",106,2516,83,"CA","Lafayette","","Socl",1860,NA,1860,NA,NA,0,NA,0,"Lafayette CA",-122.1180201,37.8857582,"Antebellum"
"107",107,3533,84,"CA","Locklord","Ladies' Sewing Society Library Assoc.","Ladies' socy",1862,NA,1862,NA,1862,150,1862,150,"Locklord CA",-121.5112786,38.2419481,NA
"108",108,2517,86,"CA","Los Angeles","","Socl",1859,NA,1861,NA,NA,0,NA,0,"Los Angeles CA",-118.2436849,34.0522342,"Antebellum"
"109",109,2518,89,"CA","Los Angeles","Amigos del Pais Social Library","Socl",1844,NA,1844,NA,NA,0,NA,0,"Los Angeles CA",-118.2436849,34.0522342,"Antebellum"
"110",110,3236,90,"CA","Los Angeles","Mechanics Institute","Mech",1856,NA,1857,NA,NA,0,NA,0,"Los Angeles CA",-118.2436849,34.0522342,"Antebellum"
"111",111,2519,88,"CA","Los Angeles","Los Angeles Library Assoc.","Socl",1872,NA,1918,NA,NA,0,NA,0,"Los Angeles CA",-118.2436849,34.0522342,NA
"112",112,6407,91,"CA","Los Angeles","St. Vincent's College","Coll",1867,NA,1884,NA,1875,1000,1875,1000,"Los Angeles CA",-118.2436849,34.0522342,NA
"113",113,5378,85,"CA","Los Angeles","Circulating Library","Comm",NA,1871,1871,NA,NA,0,NA,0,"Los Angeles CA",-118.2436849,34.0522342,NA
"114",114,3272,94,"CA","Marysville","Merc. Library Assoc.","Merc",1856,NA,1858,NA,1858,2000,1858,2000,"Marysville CA",-121.5913547,39.1457253,"Antebellum"
"115",115,2520,92,"CA","Marysville","Marysville City Library","Socl",1858,NA,1918,NA,1858,2500,1875,5009,"Marysville CA",-121.5913547,39.1457253,"Antebellum"
"116",116,4223,93,"CA","Marysville","Masons Library","Frat",1868,NA,1868,NA,NA,0,NA,0,"Marysville CA",-121.5913547,39.1457253,NA
"117",117,2976,96,"CA","Marysville","Young Men's Literary and Scientific Assoc.","YMA",1855,NA,1858,NA,NA,0,NA,0,"Marysville CA",-121.5913547,39.1457253,"Antebellum"
"118",118,4224,95,"CA","Maryville","Odd Fellows' Library","Frat",1858,NA,1875,NA,1875,1200,1875,1200,"Maryville CA",-121.5913547,39.1457253,"Antebellum"
"119",119,2521,97,"CA","Mattole","","Socl",NA,1863,1863,NA,NA,0,NA,0,"Mattole CA",-124.2859512,40.324338,NA
"120",120,4225,99,"CA","Mendocino","Odd Fellows' Library","Frat",NA,NA,NA,NA,NA,0,NA,0,"Mendocino CA",-123.7994591,39.3076744,NA
"121",121,7905,98,"CA","Merkleville?","Alpine County Law Library","Co law",1864,NA,1918,NA,NA,0,NA,0,"Merkleville? CA",-119.7796826,38.6937227,NA
"122",122,7160,100,"CA","Mokelumne Hill","Reading Room","Read room",1851,NA,1851,NA,NA,0,NA,0,"Mokelumne Hill CA",-120.7063219,38.3004709,"Antebellum"
"123",123,2522,101,"CA","Monterey","Monteray Library Assoc.","Socl",1849,NA,1875,NA,1857,1138,1875,800,"Monterey CA",-121.8946761,36.6002378,"Antebellum"
"124",124,7469,146,"CA","Monterey","Mission San Carlos de Monterey","Church",1770,NA,NA,1960,1803,388,1842,315,"Monterey CA",-121.8946761,36.6002378,"Colonial"
"125",125,2523,103,"CA","Napa","Library Assoc.","Socl",1870,NA,1870,NA,NA,0,NA,0,"Napa CA",-122.286865,38.2975381,NA
"126",126,5379,102,"CA","napa","Circulating Library","Comm",NA,1870,1870,NA,NA,0,NA,0,"napa CA",-122.286865,38.2975381,NA
"127",127,2524,104,"CA","Napa City","Napa City Library","Socl",1857,NA,1858,NA,NA,0,NA,0,"Napa City CA",-122.286865,38.2975381,"Antebellum"
"128",128,3715,108,"CA","Nevada City","YMCA","YMCA",1869,NA,1869,NA,NA,0,NA,0,"Nevada City CA",-121.0160594,39.2615606,NA
"129",129,2525,105,"CA","Nevada City","Nevada Library Assoc.","Socl",1857,NA,1858,NA,1858,1000,1858,1000,"Nevada City CA",-121.0160594,39.2615606,"Antebellum"
"130",130,4226,106,"CA","Nevada City","Odd Fellows' Library","Frat",1855,NA,1875,NA,1875,2340,1875,2340,"Nevada City CA",-121.0160594,39.2615606,"Antebellum"
"131",131,7161,107,"CA","Nevada City","Reading Room","Read room",1850,NA,1850,NA,NA,0,NA,0,"Nevada City CA",-121.0160594,39.2615606,"Antebellum"
"132",132,2526,109,"CA","North San Juan","Bridgeport Library Assoc.","Socl",1857,NA,1860,NA,NA,0,NA,0,"North San Juan CA",-121.1038655,39.3700973,"Antebellum"
"133",133,3822,114,"CA","Oakland","Philomathean Soc.","Socy",1857,NA,1857,NA,NA,0,NA,0,"Oakland CA",-122.2711137,37.8043637,"Antebellum"
"134",134,4227,113,"CA","Oakland","Odd Fellows' Library","Frat",1867,NA,1884,NA,1867,300,1867,300,"Oakland CA",-122.2711137,37.8043637,NA
"135",135,3462,110,"CA","Oakland","Lyceum","Lyceum",1855,NA,1858,NA,NA,0,NA,0,"Oakland CA",-122.2711137,37.8043637,"Antebellum"
"136",136,2528,112,"CA","Oakland","Oakland Reading Room Assoc.","Socl",1874,NA,1874,NA,NA,0,NA,0,"Oakland CA",-122.2711137,37.8043637,NA
"137",137,2527,111,"CA","Oakland","Oakland Library Assoc.","Socl",1868,NA,1918,NA,1869,3000,1875,4000,"Oakland CA",-122.2711137,37.8043637,NA
"138",138,3945,116,"CA","Oakland","Thesophical Society Library","Rel socy",1872,NA,1918,NA,NA,0,NA,0,"Oakland CA",-122.2711137,37.8043637,NA
"139",139,6424,117,"CA","Oakland","Van der Naillen? School of Engineering Library","Sci eng coll",1864,NA,1918,NA,NA,0,NA,0,"Oakland CA",-122.2711137,37.8043637,NA
"140",140,6425,115,"CA","Oakland","Pacific Theological Seminary","Theo coll",1869,NA,1918,NA,1875,1860,1875,1860,"Oakland CA",-122.2711137,37.8043637,NA
"141",141,5815,118,"CA","Orange","Hesperian College - Hesperian Society","Coll socy",NA,1866,1866,NA,NA,0,NA,0,"Orange CA",-117.8531119,33.7877944,NA
"142",142,2889,119,"CA","Oroville","Ladies' Lib","Ladies",1860,NA,1884,NA,1875,802,1875,802,"Oroville CA",-121.556359,39.5137752,"Antebellum"
"143",143,2529,120,"CA","Orville","Orville Library","Socl",1857,NA,1859,NA,NA,0,NA,0,"Orville CA",-121.556359,39.5137752,"Antebellum"
"144",144,2530,121,"CA","Pacheco","","Socl",NA,1864,1864,NA,NA,0,NA,0,"Pacheco CA",-122.0752413,37.9835331,NA
"145",145,4228,124,"CA","Petaluma","Public Library of Petaluma","Frat",1866,NA,NA,1878,1875,1685,1875,1685,"Petaluma CA",-122.6366524,38.232417,NA
"146",146,2531,122,"CA","Petaluma","Liberty Library","Socl",1856,NA,1858,NA,1858,350,1858,350,"Petaluma CA",-122.6366524,38.232417,"Antebellum"
"147",147,6408,123,"CA","Petaluma","Petaluma College","Coll",1866,NA,1870,NA,NA,0,NA,0,"Petaluma CA",-122.6366524,38.232417,NA
"148",148,2532,125,"CA","Pine Grove","Pine Grove Library","Socl",1856,NA,1858,NA,1858,500,1858,500,"Pine Grove CA",-120.6591314,38.4133517,"Antebellum"
"149",149,4123,126,"CA","Placerville","Neptune Library","Fire",1856,NA,1884,NA,1875,1750,1875,1750,"Placerville CA",-120.798546,38.7296252,"Antebellum"
"150",150,4229,128,"CA","Red Bluff","Odd Fellows' Library","Frat",1868,NA,1884,NA,NA,0,NA,0,"Red Bluff CA",-122.2358302,40.1784886,NA
"151",151,2533,129,"CA","Redwood City","Franklin Library","Socl",1866,NA,1866,NA,NA,0,NA,0,"Redwood City CA",-122.2363548,37.4852152,NA
"152",152,2534,130,"CA","Rio Vista","Free reading room","Socl",1872,NA,1872,NA,NA,0,NA,0,"Rio Vista CA",-121.6913439,38.1557502,NA
"153",153,7825,131,"CA","Sacramento","State Library","State",1850,NA,1884,NA,1858,11000,1875,37000,"Sacramento CA",-121.4943996,38.5815719,"Antebellum"
"154",154,3716,141,"CA","Sacramento","Young Men's Christian Assoc.","YMCA",NA,1867,1867,NA,NA,0,NA,0,"Sacramento CA",-121.4943996,38.5815719,NA
"155",155,2535,137,"CA","Sacramento","Sacramento Library Assoc.","Socl",1857,NA,NA,1879,1858,4561,1875,5539,"Sacramento CA",-121.4943996,38.5815719,"Antebellum"
"156",156,4230,135,"CA","Sacramento","Odd Fellows' Library","Frat",1855,NA,1875,NA,1858,2050,1858,2050,"Sacramento CA",-121.4943996,38.5815719,"Antebellum"
"157",157,3270,133,"CA","Sacramento","Mercantile Library Assoc.","Merc",1850,NA,NA,1852,NA,0,NA,0,"Sacramento CA",-121.4943996,38.5815719,"Antebellum"
"158",158,7633,140,"CA","Sacramento","Supreme Court Library","Law state",1868,NA,1906,NA,1875,5600,1875,5600,"Sacramento CA",-121.4943996,38.5815719,NA
"159",159,4505,136,"CA","Sacramento","Pioneer Assoc.","Hist socl",1854,NA,1858,NA,1858,500,1858,500,"Sacramento CA",-121.4943996,38.5815719,"Antebellum"
"160",160,4824,139,"CA","Sacramento","State Agricultural Society","Agri socl",NA,1858,1859,NA,1859,125,1859,125,"Sacramento CA",-121.4943996,38.5815719,NA
"161",161,5380,132,"CA","Sacramento","Denver's Circulating Library","Comm",NA,1858,1858,NA,NA,0,NA,0,"Sacramento CA",-121.4943996,38.5815719,NA
"162",162,3463,143,"CA","San Andreas","Lyceum","Lyceum",1858,NA,1860,NA,1860,600,1860,600,"San Andreas CA",-120.6804872,38.1960298,"Antebellum"
"163",163,7468,12020,"CA","San Antonio","San Antonio Mission","Church",NA,1774,1845,NA,1835,31,1845,170,"San Antonio CA",-122.59028,38.18389,NA
"164",164,2537,144,"CA","San Bernardino","","Socl",NA,1860,1860,NA,NA,0,NA,0,"San Bernardino CA",-117.2897652,34.1083449,NA
"165",165,2556,279,"CA","San Buenaventura","Ventura Public Library","Socl",1874,NA,NA,1884,NA,0,NA,0,"San Buenaventura CA",-119.2290316,34.274646,NA
"166",166,2538,148,"CA","San Diego","San Diego Library Assoc.","Socl",1870,NA,1870,NA,NA,0,NA,0,"San Diego CA",-117.1610838,32.715738,NA
"167",167,2539,147,"CA","San Diego","San Diego Free Reading Room Assoc.","Socl",1872,NA,1872,NA,NA,0,NA,0,"San Diego CA",-117.1610838,32.715738,NA
"168",168,7467,12021,"CA","San Diego","San Diego Mission Library","Church",NA,1777,1849,NA,NA,0,NA,0,"San Diego CA",-117.1610838,32.715738,NA
