Name,Organization,Year,Status
Samuel Smith,United States Military Philosophical Society,1809,Member
Robert Smith,United States Military Philosophical Society,1809,Member
Arthur St. Clair,United States Military Philosophical Society,1809,Member
William Short,United States Military Philosophical Society,1809,Member
Daniel Stevens,United States Military Philosophical Society,1809,Member
John Saunders,United States Military Philosophical Society,1809,Member
Thomas Sumter,United States Military Philosophical Society,1809,Member
Forest Swift,United States Military Philosophical Society,1809,Member
William L. Smith,United States Military Philosophical Society,1809,Member
Benjamin Smith,United States Military Philosophical Society,1809,Member
Amos Stoddard,United States Military Philosophical Society,1809,Member
Nathaniel Smith,United States Military Philosophical Society,1809,Member
James S. Swearengen,United States Military Philosophical Society,1809,Member
James Simons,United States Military Philosophical Society,1809,Member
John Smith,United States Military Philosophical Society,1809,Member
Charles Steward,United States Military Philosophical Society,1809,Member
Arthur Sinclair,United States Military Philosophical Society,1809,Member
John Tayloe,United States Military Philosophical Society,1809,Member
Thomas Tillotson,United States Military Philosophical Society,1809,Member
John Trumbull,United States Military Philosophical Society,1809,Member
Thomas Truxtun,United States Military Philosophical Society,1809,Member
Thomas T. Tucker,United States Military Philosophical Society,1809,Member
Thomas T. Tucker,United States Military Philosophical Society,1809,Member
Thomas Tingey,United States Military Philosophical Society,1809,Member
Joseph G. Totten,United States Military Philosophical Society,1809,Member
Daniel D. Tompkins,United States Military Philosophical Society,1809,Member
Sylvanus Thayer,United States Military Philosophical Society,1809,Member
Louis de Tousard,United States Military Philosophical Society,1809,Member
John Trippe,United States Military Philosophical Society,1809,Member
John Vaughan,United States Military Philosophical Society,1809,Member
Hyppolite Villard,United States Military Philosophical Society,1809,Member
James Wilkinson,United States Military Philosophical Society,1809,Member
John B. Walbach,United States Military Philosophical Society,1809,Member
Bushrod Washington,United States Military Philosophical Society,1809,Member
Richard Whiley,United States Military Philosophical Society,1809,Member
Franklin Wharton,United States Military Philosophical Society,1809,Member
Samuel Webber,United States Military Philosophical Society,1809,Member
Prentice Willard,United States Military Philosophical Society,1809,Member
William Washington,United States Military Philosophical Society,1809,Member
Alexander J. Williams,United States Military Philosophical Society,1809,Member
Marinus Willet,United States Military Philosophical Society,1809,Member
Eli Whitney,United States Military Philosophical Society,1809,Member
Charles Wilkes,United States Military Philosophical Society,1809,Member
Peter W. Winthrop,United States Military Philosophical Society,1809,Member
John Williams,United States Military Philosophical Society,1809,Member
Philip Wederstrandt,United States Military Philosophical Society,1809,Member
M.J. Woolsey,United States Military Philosophical Society,1809,Member
Charles E. Zoeller,United States Military Philosophical Society,1809,Member
