Name,Organization,Year Elected,Status,
William Y. Birch,Academy of Natural Sciences,1823,Member,Resident
William N. Bispham,Academy of Natural Sciences,1834,Member,Resident
William Blanding,Academy of Natural Sciences,1831,Member,Resident
Charles Lucian Bonaparte,Academy of Natural Sciences,1824,Member,Resident
George T. Bowen,Academy of Natural Sciences,1822,Member,Resident
Conrad R. Boyer,Academy of Natural Sciences,1836,Member,Resident
Thomas Latimer Bowie,Academy of Natural Sciences,1836,Member,Resident
Moses Brown,Academy of Natural Sciences,1817,Member,Resident
Henry Bond,Academy of Natural Sciences,1830,Member,Resident
John M. Brewer,Academy of Natural Sciences,1824,Member,Resident
James Bryan,Academy of Natural Sciences,1834,Member,Resident
Robert Bridges,Academy of Natural Sciences,1835,Member,Resident
M. Burrough,Academy of Natural Sciences,1830,Member,Resident
Caleb Carmalt,Academy of Natural Sciences,1817,Member,Resident
George W. Carpenter,Academy of Natural Sciences,1825,Member,Resident
Joseph Carson,Academy of Natural Sciences,1833,Member,Resident
A. D. Chaloner,Academy of Natural Sciences,1836,Member,Resident
Heber Chase,Academy of Natural Sciences,1836,Member,Resident
Edward Clark,Academy of Natural Sciences,1816,Member,Resident
J. Y. Clark,Academy of Natural Sciences,1826,Member,Resident
Cleaver,Academy of Natural Sciences,1817,Member,Resident
Benjamin H. Coates,Academy of Natural Sciences,1815,Member,Resident
Reynell Coates,Academy of Natural Sciences,1830,Member,Resident
Solomon W. Conrad,Academy of Natural Sciences,1826,Member,Resident
Timothy Abbot Conrad,Academy of Natural Sciences,1831,Member,Resident
Joseph Correa de Serra,Academy of Natural Sciences,1814,Member,Resident
Zaccheus Collins,Academy of Natural Sciences,1815,Member,Resident
Rudolph Deitz,Academy of Natural Sciences,1821,Member,Resident
Judah Dobson,Academy of Natural Sciences,1833,Member,Resident
Edmund Draper,Academy of Natural Sciences,1834,Member,Resident
J. H. Dulles,Academy of Natural Sciences,1816,Member,Resident
Nathan Dunn,Academy of Natural Sciences,1831,Member,Resident
John Eberle,Academy of Natural Sciences,1819,Member,Resident
Frederick S. Eckard,Academy of Natural Sciences,1836,Member,Resident
Levi Ellmaker,Academy of Natural Sciences,1829,Member,Resident
Alfred Langdon Elwyn,Academy of Natural Sciences,1831,Member,Resident
Joseph Fisher,Academy of Natural Sciences,1821,Member,Resident
Thomas Fisher,Academy of Natural Sciences,1824,Member,Resident
J. K. Finley,Academy of Natural Sciences,1828,Member,Resident
Thomas Fletcher,Academy of Natural Sciences,1836,Member,Resident
William Augustus Foster,Academy of Natural Sciences,1833,Member,Resident
Hudson S. Foster,Academy of Natural Sciences,1834,Member,Resident
George Fox,Academy of Natural Sciences,1836,Member,Resident
Robert Frazer,Academy of Natural Sciences,1814,Member,Resident
John F. Frazer,Academy of Natural Sciences,1835,Member,Resident
W. W. Gerhard,Academy of Natural Sciences,1835,Member,Resident
Jacob Gilliams,Academy of Natural Sciences,1812,Member,Resident
William P. Gibbons,Academy of Natural Sciences,1833,Member,Resident
John D. Godman,Academy of Natural Sciences,1821,Member,Resident
Paul Beck Goddard,Academy of Natural Sciences,1829,Member,Resident
John L. Goddard,Academy of Natural Sciences,1836,Member,Resident
Robert Eglesfield Griffith,Academy of Natural Sciences,1815,Member,Resident
Samuel S. Griscom,Academy of Natural Sciences,1830,Member,Resident
Samuel W. Gumbs,Academy of Natural Sciences,1834,Member,Resident
Reuben Haines,Academy of Natural Sciences,1813,Member,Resident
Robert Hare,Academy of Natural Sciences,1813,Member,Resident
Clark Hare,Academy of Natural Sciences,1835,Member,Resident
Richard Harlan,Academy of Natural Sciences,1815,Member,Resident
Isaac Hays,Academy of Natural Sciences,1818,Member,Resident
George Hagner,Academy of Natural Sciences,1815,Member,Resident
Samuel Hazard,Academy of Natural Sciences,1815,Member,Resident
Edward Harris,Academy of Natural Sciences,1835,Member,Resident
Edward Hallowell,Academy of Natural Sciences,1834,Member,Resident
William Hembel,Academy of Natural Sciences,1825,Member,Resident
Charles Hedelius,Academy of Natural Sciences,1824,Member,Resident
N. M. Hentz,Academy of Natural Sciences,1829,Member,Resident
C. Hering,Academy of Natural Sciences,1829,Member,Resident
M. Hersant,Academy of Natural Sciences,1836,Member,Resident
S. C. C. Horsfield,Academy of Natural Sciences,1830,Member,Resident
Charles Huffnagle,Academy of Natural Sciences,1830,Member,Resident
Thomas C. James,Academy of Natural Sciences,1814,Member,Resident
Samuel Jaudon,Academy of Natural Sciences,1836,Member,Resident
Augustus E. Jessup,Academy of Natural Sciences,1818,Member,Resident
Thomas P. Jones,Academy of Natural Sciences,1812,Member,Resident
Walter R. Johnson,Academy of Natural Sciences,1827,Member,Resident
William P. Johnson,Academy of Natural Sciences,1835,Member,Resident
William H. Keating,Academy of Natural Sciences,1816,Member,Resident
L. Allen Key,Academy of Natural Sciences,1833,Member,Resident
William Kneass,Academy of Natural Sciences,1814,Member,Resident
R. La Roche,Academy of Natural Sciences,1823,Member,Resident
John Land,Academy of Natural Sciences,1836,Member,Resident
Isaac Lea,Academy of Natural Sciences,1815,Member,Resident
John Lea Jr.,Academy of Natural Sciences,1815,Member,Resident
C. A. Lesueur,Academy of Natural Sciences,1818,Member,Resident
Joshua Longstreth,Academy of Natural Sciences,1815,Member,Resident
Isaiah Lukens,Academy of Natural Sciences,1812,Member,Resident
Camilltis M. Mann,Academy of Natural Sciences,1812,Member,Resident
George A. Madeira,Academy of Natural Sciences,1814,Member,Resident
William Maclure,Academy of Natural Sciences,1812,Member,Resident
Thomas McEuen,Academy of Natural Sciences,1818,Member,Resident
Charles McEuen,Academy of Natural Sciences,1834,Member,Resident
Henry McMurtrie,Academy of Natural Sciences,1833,Member,Resident
James A. McCrea,Academy of Natural Sciences,1833,Member,Resident
John K. Mitchill,Academy of Natural Sciences,1822,Member,Resident
John Millington,Academy of Natural Sciences,1832,Member,Resident
A. F. E. Mickle,Academy of Natural Sciences,1831,Member,Resident
George Mifflin,Academy of Natural Sciences,1835,Member,Resident
Samuel George Morton,Academy of Natural Sciences,1820,Member,Resident
Caspar Morris,Academy of Natural Sciences,1829,Member,Resident
Chevalier Morelli,Academy of Natural Sciences,1836,Member,Resident
Thomas D. Mutter,Academy of Natural Sciences,1833,Member,Resident
"William Norris, Jr.",Academy of Natural Sciences,1830,Member,Resident
George W. Norris,Academy of Natural Sciences,1836,Member,Resident
Thomas Nuttall,Academy of Natural Sciences,1817,Member,Resident
George Ord,Academy of Natural Sciences,1815,Member,Resident
N. S. Parmentier,Academy of Natural Sciences,1812,Member,Resident
R. M. Patterson,Academy of Natural Sciences,1816,Member,Resident
Titian R. Peale,Academy of Natural Sciences,1817,Member,Resident
Rubens Peale,Academy of Natural Sciences,1813,Member,Resident
Jacob Pierce,Academy of Natural Sciences,1813,Member,Resident
Caspar Wistar Pennock,Academy of Natural Sciences,1824,Member,Resident
Robert E. Peterson,Academy of Natural Sciences,1831,Member,Resident
S. S. Penrose,Academy of Natural Sciences,1830,Member,Resident
Robert Pearsall,Academy of Natural Sciences,1835,Member,Resident
John S. Phillips,Academy of Natural Sciences,1836,Member,Resident
Charles Pickering,Academy of Natural Sciences,1827,Member,Resident
Charles A. Poulson,Academy of Natural Sciences,1823,Member,Resident
R. Robinson Porter,Academy of Natural Sciences,1833,Member,Resident
Jonas Preston,Academy of Natural Sciences,1824,Member,Resident
Richard Randolph,Academy of Natural Sciences,1814,Member,Resident
C. S. Rafinesque,Academy of Natural Sciences,1816,Member,Resident
James Read,Academy of Natural Sciences,1824,Member,Resident
M. M. Reeve,Academy of Natural Sciences,1831,Member,Resident
Caleb Richardson,Academy of Natural Sciences,1814,Member,Resident
Edward Florens Rivinus,Academy of Natural Sciences,1834,Member,Resident
Joseph Rotch,Academy of Natural Sciences,1814,Member,Resident
Thomas Rotch,Academy of Natural Sciences,1816,Member,Resident
Henry D. Rogers,Academy of Natural Sciences,1833,Member,Resident
A. S. Roberts,Academy of Natural Sciences,1836,Member,Resident
Thomas Ryan,Academy of Natural Sciences,1836,Member,Resident
Thomas Say,Academy of Natural Sciences,1812,Member,Resident
Benjamin Say,Academy of Natural Sciences,1813,Member,Resident
Henry Seybert,Academy of Natural Sciences,1828,Member,Resident
"John Shinn, Jr.",Academy of Natural Sciences,1812,Member,Resident
Benjamin Shoemaker,Academy of Natural Sciences,1825,Member,Resident
John Simmons,Academy of Natural Sciences,1835,Member,Resident
Samuel Snelling,Academy of Natural Sciences,1836,Member,Resident
Charles W. Smith,Academy of Natural Sciences,1835,Member,Resident
Jacob R. Smith,Academy of Natural Sciences,1815,Member,Resident
Joseph P. Smith,Academy of Natural Sciences,1826,Member,Resident
John C. Smith,Academy of Natural Sciences,1834,Member,Resident
John Speakman,Academy of Natural Sciences,1812,Member,Resident
George Spackman,Academy of Natural Sciences,1825,Member,Resident
Joseph Slouse,Academy of Natural Sciences,1812,Member,Resident
William Stewart,Academy of Natural Sciences,1823,Member,Resident
Thomas Slewardson,Academy of Natural Sciences,1836,Member,Resident
E. B. Siocldoiu,Academy of Natural Sciences,1815,Member,Resident
Daniel Sleinhaur,Academy of Natural Sciences,1829,Member,Resident
Edward Swain,Academy of Natural Sciences,1832,Member,Resident
O. H. Taylor,Academy of Natural Sciences,1832,Member,Resident
J. Edgar Thompson,Academy of Natural Sciences,1831,Member,Resident
John Kirk Townsend,Academy of Natural Sciences,1833,Member,Resident
G. Troost,Academy of Natural Sciences,1812,Member,Resident
James Trudcau,Academy of Natural Sciences,1815,Member,Resident
Frederick Turnpenny,Academy of Natural Sciences,1833,Member,Resident
John B. Tuft,Academy of Natural Sciences,1836,Member,Resident
Lardner Vanuxcm,Academy of Natural Sciences,1815,Member,Resident
John Vaughan,Academy of Natural Sciences,1822,Member,Resident
Robert Vaux,Academy of Natural Sciences,1814,Member,Resident
William S. Vaux,Academy of Natural Sciences,1834,Member,Resident
Benjamin Warner,Academy of Natural Sciences,1814,Member,Resident
F. Waterhoase,Academy of Natural Sciences,1814,Member,Resident
William S. Warder,Academy of Natural Sciences,1814,Member,Resident
William Wagner,Academy of Natural Sciences,1815,Member,Resident
Tobias Wagner,Academy of Natural Sciences,1818,Member,Resident
Joseph Watson,Academy of Natural Sciences,1816,Member,Resident
N. A. Ware,Academy of Natural Sciences,1826,Member,Resident
Thomas T. Walters,Academy of Natural Sciences,1835,Member,Resident
Maxwell Walker,Academy of Natural Sciences,1836,Member,Resident
John Price Wethcrill,Academy of Natural Sciences,1817,Member,Resident
William Wetherill,Academy of Natural Sciences,1824,Member,Resident
Charles Wetherill,Academy of Natural Sciences,1830,Member,Resident
Alexander Wilson,Academy of Natural Sciences,1813,Member,Resident
Thomas B. Wilson,Academy of Natural Sciences,1832,Member,Resident
Richard Wistar,Academy of Natural Sciences,1831,Member,Resident
Joseph Woolens,Academy of Natural Sciences,1815,Member,Resident
William W. Wood,Academy of Natural Sciences,1825,Member,Resident
George B. Wood,Academy of Natural Sciences,1824,Member,Resident
George Zantzinger,Academy of Natural Sciences,1835,Member,Resident
E. Abadie,Academy of Natural Sciences,1836,Member,Corresponding
Don Pedro Abadie,Academy of Natural Sciences,1821,Member,Corresponding
Robert Adrain,Academy of Natural Sciences,1815,Member,Corresponding
Charles Adolphus Agardh,Academy of Natural Sciences,1834,Member,Corresponding
Louis Agassiz,Academy of Natural Sciences,1836,Member,Corresponding
John Gould Anthony,Academy of Natural Sciences,1833,Member,Corresponding
John James Audubon,Academy of Natural Sciences,1831,Member,Corresponding
M. Victor Audouin,Academy of Natural Sciences,1821,Member,Corresponding
Don Pedro Alessandro,Academy of Natural Sciences,1835,Member,Corresponding
William Bartram,Academy of Natural Sciences,1812,Member,Corresponding
William Baldwin,Academy of Natural Sciences,1817,Member,Corresponding
Joseph Barabino,Academy of Natural Sciences,1831,Member,Corresponding
John Bachman,Academy of Natural Sciences,1832,Member,Corresponding
Thomas Bedwell,Academy of Natural Sciences,1812,Member,Corresponding
A. Bellin,Academy of Natural Sciences,1812,Member,Corresponding
Samuel Betton,Academy of Natural Sciences,1815,Member,Corresponding
T. Romeyn Beck,Academy of Natural Sciences,1816,Member,Corresponding
M. F. S. Beudant,Academy of Natural Sciences,1821,Member,Corresponding
Robert Best,Academy of Natural Sciences,1823,Member,Corresponding
M. Bellingeri,Academy of Natural Sciences,1826,Member,Corresponding
J. Jacob Berzelius,Academy of Natural Sciences,1826,Member,Corresponding
M. Elie de Beaumont,Academy of Natural Sciences,1833,Member,Corresponding
Lewis C. Beck,Academy of Natural Sciences,1833,Member,Corresponding
Thomas Bell,Academy of Natural Sciences,1834,Member,Corresponding
M. Jules Bellot,Academy of Natural Sciences,1836,Member,Corresponding
Amos Binney,Academy of Natural Sciences,1836,Member,Corresponding
Robert Bickley,Academy of Natural Sciences,1816,Member,Corresponding
John J. Bigsby,Academy of Natural Sciences,1820,Member,Corresponding
Shubel Blanding,Academy of Natural Sciences,1836,Member,Corresponding
William Blanding,Academy of Natural Sciences,1836,Member,Corresponding
M. H. Ducrotay de Blainville,Academy of Natural Sciences,1817,Member,Corresponding
Francesco Bonelli,Academy of Natural Sciences,1815,Member,Corresponding
M. Amicus Borie,Academy of Natural Sciences,1821,Member,Corresponding
M. Ami Boue,Academy of Natural Sciences,1830,Member,Corresponding
William John Broderip,Academy of Natural Sciences,1836,Member,Corresponding
David Brewster,Academy of Natural Sciences,1822,Member,Corresponding
Lewis Brantz,Academy of Natural Sciences,1819,Member,Corresponding
M. Adolphe Brongniart,Academy of Natural Sciences,1821,Member,Corresponding
M. Alexandre Brongniart,Academy of Natural Sciences,1812,Member,Corresponding
Archibald Bruce,Academy of Natural Sciences,1812,Member,Corresponding
John Bradbury,Academy of Natural Sciences,1817,Member,Corresponding
Samuel Brown,Academy of Natural Sciences,1818,Member,Corresponding
William Buckland,Academy of Natural Sciences,1822,Member,Corresponding
John H. Burr,Academy of Natural Sciences,1829,Member,Corresponding
Jose Maria Bustamente,Academy of Natural Sciences,1829,Member,Corresponding
William J. Burchell,Academy of Natural Sciences,1835,Member,Corresponding
M. Adrian Camper,Academy of Natural Sciences,1821,Member,Corresponding
Robert Carr,Academy of Natural Sciences,1816,Member,Corresponding
Lewis Cass,Academy of Natural Sciences,1831,Member,Corresponding
J. N. Casanova,Academy of Natural Sciences,1834,Member,Corresponding
T. P. Cautley,Academy of Natural Sciences,1836,Member,Corresponding
Isaac Chapman,Academy of Natural Sciences,1813,Member,Corresponding
John George Children,Academy of Natural Sciences,1836,Member,Corresponding
Jacob Cist,Academy of Natural Sciences,1816,Member,Corresponding
Parker Cleaveland,Academy of Natural Sciences,1812,Member,Corresponding
Dewitt Clinton,Academy of Natural Sciences,1815,Member,Corresponding
John D. Clifford,Academy of Natural Sciences,1816,Member,Corresponding
M. Jules Cloquet,Academy of Natural Sciences,1818,Member,Corresponding
M. le Baron de Collens,Academy of Natural Sciences,1818,Member,Corresponding
William Cooper,Academy of Natural Sciences,1828,Member,Corresponding
Thomas Cooper,Academy of Natural Sciences,1812,Member,Corresponding
Lewis Le Conte,Academy of Natural Sciences,1815,Member,Corresponding
John Le Conte,Academy of Natural Sciences,1815,Member,Corresponding
Joseph H. Cogswell,Academy of Natural Sciences,1816,Member,Corresponding
Luigi Colla,Academy of Natural Sciences,1822,Member,Corresponding
J. J. Cohen,Academy of Natural Sciences,1833,Member,Corresponding
James S. Craft,Academy of Natural Sciences,1831,Member,Corresponding
H. B. Croom,Academy of Natural Sciences,1835,Member,Corresponding
Charles Cramer,Academy of Natural Sciences,1834,Member,Corresponding
John Curtis,Academy of Natural Sciences,1836,Member,Corresponding
M. le Baron Cuvier,Academy of Natural Sciences,1818,Member,Corresponding
M. Frederick Cuvier,Academy of Natural Sciences,1818,Member,Corresponding
John Davis,Academy of Natural Sciences,1812,Member,Corresponding
Samuel L. Dana,Academy of Natural Sciences,1815,Member,Corresponding
James D. Dana,Academy of Natural Sciences,1836,Member,Corresponding
William Darlington,Academy of Natural Sciences,1818,Member,Corresponding
M. Anselme Gaetan Desmarest,Academy of Natural Sciences,1817,Member,Corresponding
James E. Dekay,Academy of Natural Sciences,1821,Member,Corresponding
Gaspard Deabbate,Academy of Natural Sciences,1823,Member,Corresponding
M. Andres del Rio,Academy of Natural Sciences,1829,Member,Corresponding
M. G. P. Dehayes,Academy of Natural Sciences,1832,Member,Corresponding
Chester Dewey,Academy of Natural Sciences,1832,Member,Corresponding
Henry Thomas De la Beche,Academy of Natural Sciences,1832,Member,Corresponding
Lewis Weston Dillwyn,Academy of Natural Sciences,1815,Member,Corresponding
C. Doddridge,Academy of Natural Sciences,1812,Member,Corresponding
Johan Wolfgang Doebreiner,Academy of Natural Sciences,1830,Member,Corresponding
Daniel Drake,Academy of Natural Sciences,1812,Member,Corresponding
M. A. Drappier,Academy of Natural Sciences,1824,Member,Corresponding
John W. Draper,Academy of Natural Sciences,1836,Member,Corresponding
M. Duclos,Academy of Natural Sciences,1833,Member,Corresponding
Thomas Duncan,Academy of Natural Sciences,1816,Member,Corresponding
M. Constant Dumeril,Academy of Natural Sciences,1818,Member,Corresponding
M. M. Duvignan,Academy of Natural Sciences,1820,Member,Corresponding
Alfred Dupont,Academy of Natural Sciences,1821,Member,Corresponding
Julius F. Ducatel,Academy of Natural Sciences,1812,Member,Corresponding
Chev. A. M. Vassali Eandi,Academy of Natural Sciences,1822,Member,Corresponding
 Amos Eaton,Academy of Natural Sciences,1829,Member,Corresponding
H. Hulbert Eaton,Academy of Natural Sciences,1831,Member,Corresponding
John Milton Earle,Academy of Natural Sciences,1833,Member,Corresponding
M. H. Milne Edwards,Academy of Natural Sciences,1832,Member,Corresponding
William Cox Ellis,Academy of Natural Sciences,1823,Member,Corresponding
Andrew Ellicott,Academy of Natural Sciences,1812,Member,Corresponding
Stephen Elliott,Academy of Natural Sciences,1815,Member,Corresponding
M. Henri Esher,Academy of Natural Sciences,1813,Member,Corresponding
M. Favjas de St. Fond,Academy of Natural Sciences,1812,Member,Corresponding
Sylvanus Faucker,Academy of Natural Sciences,1815,Member,Corresponding
Hugh Falconer,Academy of Natural Sciences,1836,Member,Corresponding
Z. Ferris,Academy of Natural Sciences,1815,Member,Corresponding
George William Featherstonhaugh,Academy of Natural Sciences,1830,Member,Corresponding
M. le Baron Daudebard de Fcrussac,Academy of Natural Sciences,1818,Member,Corresponding
Leopold Fitzinger,Academy of Natural Sciences,1832,Member,Corresponding
Thomas Forster,Academy of Natural Sciences,1815,Member,Corresponding
Samuel Fowler,Academy of Natural Sciences,1823,Member,Corresponding
John P. Foote,Academy of Natural Sciences,1824,Member,Corresponding
Henry Frick,Academy of Natural Sciences,1831,Member,Corresponding
John W. Francis,Academy of Natural Sciences,1816,Member,Corresponding
M. Augustin Frutos,Academy of Natural Sciences,1819,Member,Corresponding
Don Manuel de la Garca,Academy of Natural Sciences,1817,Member,Corresponding
John Galbraith,Academy of Natural Sciences,1831,Member,Corresponding
Ernest Frederick Germar,Academy of Natural Sciences,1828,Member,Corresponding
E. Geddings,Academy of Natural Sciences,1832,Member,Corresponding
Henry Gibbons,Academy of Natural Sciences,1834,Member,Corresponding
Robert Gilmore,Academy of Natural Sciences,1819,Member,Corresponding
George Gibbs,Academy of Natural Sciences,1815,Member,Corresponding
Francis W. Gilmer,Academy of Natural Sciences,1815,Member,Corresponding
John Gorham,Academy of Natural Sciences,1816,Member,Corresponding
August Goldfuss,Academy of Natural Sciences,1832,Member,Corresponding
John Griscom,Academy of Natural Sciences,1814,Member,Corresponding
Thomas Griffith,Academy of Natural Sciences,1815,Member,Corresponding
Edward Griffith,Academy of Natural Sciences,1828,Member,Corresponding
R. H. Greville,Academy of Natural Sciences,1823,Member,Corresponding
M. Grateloup,Academy of Natural Sciences,1836,Member,Corresponding
Asa Gray,Academy of Natural Sciences,1836,Member,Corresponding
John Edward Gray,Academy of Natural Sciences,1829,Member,Corresponding
Benjamin D. Green,Academy of Natural Sciences,1831,Member,Corresponding
John Guillemard,Academy of Natural Sciences,1817,Member,Corresponding
John Gummere,Academy of Natural Sciences,1816,Member,Corresponding
M. Haiiy,Academy of Natural Sciences,1812,Member,Corresponding
John S. Haines,Academy of Natural Sciences,1814,Member,Corresponding
Horace H. Hayden,Academy of Natural Sciences,1815,Member,Corresponding
I. H. Hassenfratz,Academy of Natural Sciences,1819,Member,Corresponding
George Hazelwood,Academy of Natural Sciences,1821,Member,Corresponding
T. W. Harris,Academy of Natural Sciences,1826,Member,Corresponding
James Hadley,Academy of Natural Sciences,1828,Member,Corresponding
Josiah Harlan,Academy of Natural Sciences,1831,Member,Corresponding
Edward C. Herrick,Academy of Natural Sciences,1836,Member,Corresponding
S. P. Hildreth,Academy of Natural Sciences,1832,Member,Corresponding
Edward Hitchcock,Academy of Natural Sciences,1832,Member,Corresponding
M. E. Geoffroy St. Hilaire,Academy of Natural Sciences,1818,Member,Corresponding
Ezekiel Holmes,Academy of Natural Sciences,1826,Member,Corresponding
Charles Joseph Van Hoorebeke,Academy of Natural Sciences,1821,Member,Corresponding
David Hosack,Academy of Natural Sciences,1815,Member,Corresponding
John Edward Holbrook,Academy of Natural Sciences,1832,Member,Corresponding
Robert Hooper,Academy of Natural Sciences,1834,Member,Corresponding
William Jackson Hooker,Academy of Natural Sciences,1821,Member,Corresponding
Thomas Horsfield,Academy of Natural Sciences,1826,Member,Corresponding
David Hunt,Academy of Natural Sciences,1815,Member,Corresponding
William Cobb Hurry,Academy of Natural Sciences,1832,Member,Corresponding
Ansel W. Ives,Academy of Natural Sciences,1817,Member,Corresponding
Joseph Jansen,Academy of Natural Sciences,1816,Member,Corresponding
William Jackson,Academy of Natural Sciences,1814,Member,Corresponding
Charles T. Jackson,Academy of Natural Sciences,1833,Member,Corresponding
Robert Jameson,Academy of Natural Sciences,1822,Member,Corresponding
William James,Academy of Natural Sciences,1814,Member,Corresponding
Edwin James,Academy of Natural Sciences,1823,Member,Corresponding
John C. Jay,Academy of Natural Sciences,1835,Member,Corresponding
John Carmichael Jenkins,Academy of Natural Sciences,1836,Member,Corresponding
Thomas Jefferson,Academy of Natural Sciences,1818,Member,Corresponding
William Jones,Academy of Natural Sciences,1817,Member,Corresponding
M. A. L. de Jussieu,Academy of Natural Sciences,1818,Member,Corresponding
Alexander A. T. C. Keech,Academy of Natural Sciences,1816,Member,Corresponding
M. Pierre-Andre Latreille,Academy of Natural Sciences,1817,Member,Corresponding
M. Laugier,Academy of Natural Sciences,1818,Member,Corresponding
William Lawrence,Academy of Natural Sciences,1818,Member,Corresponding
B. G. E. de la Ville,Academy of Natural Sciences,1812,Member,Corresponding
Count Lakanal,Academy of Natural Sciences,1816,Member,Corresponding
Chev. de Lamarck,Academy of Natural Sciences,1818,Member,Corresponding
M. J. L. Laporte,Academy of Natural Sciences,1832,Member,Corresponding
Justus Le Beau,Academy of Natural Sciences,1833,Member,Corresponding
M. R. P. Lesson,Academy of Natural Sciences,1832,Member,Corresponding
Karl Caesar von Leonard,Academy of Natural Sciences,1824,Member,Corresponding
James Leighton,Academy of Natural Sciences,1824,Member,Corresponding
William Elford Leach,Academy of Natural Sciences,1821,Member,Corresponding
M. Lefroy,Academy of Natural Sciences,1817,Member,Corresponding
Joel Lewis,Academy of Natural Sciences,1815,Member,Corresponding
Henry Lee,Academy of Natural Sciences,1816,Member,Corresponding
M. Leman,Academy of Natural Sciences,1817,Member,Corresponding
Louis L'Herminier,Academy of Natural Sciences,1817,Member,Corresponding
Algernon Sidney Logan,Academy of Natural Sciences,1815,Member,Corresponding
Stephen H. Long,Academy of Natural Sciences,1817,Member,Corresponding
Joseph Lovell,Academy of Natural Sciences,1823,Member,Corresponding
Guillaume Lobe,Academy of Natural Sciences,1836,Member,Corresponding
M. J. A. H. Lucas,Academy of Natural Sciences,1817,Member,Corresponding
Wm. J. Macnevin,Academy of Natural Sciences,1814,Member,Corresponding
Julien Magnanos,Academy of Natural Sciences,1812,Member,Corresponding
M. Mangouri,Academy of Natural Sciences,1812,Member,Corresponding
Patrick Macaulay,Academy of Natural Sciences,1816,Member,Corresponding
C. F. P. Von Martius,Academy of Natural Sciences,1832,Member,Corresponding
M. Ch. Martins,Academy of Natural Sciences,1833,Member,Corresponding
Ephraim McDowell,Academy of Natural Sciences,1813,Member,Corresponding
James McFadyen,Academy of Natural Sciences,1835,Member,Corresponding
James MacCulloch,Academy of Natural Sciences,1829,Member,Corresponding
William McGillivray,Academy of Natural Sciences,1831,Member,Corresponding
William Sharp Mac Leay,Academy of Natural Sciences,1836,Member,Corresponding
 Fred. Val. Melsheimer,Academy of Natural Sciences,1813,Member,Corresponding
M. Johan Menger,Academy of Natural Sciences,1822,Member,Corresponding
M. Mercier,Academy of Natural Sciences,1812,Member,Corresponding
Herman de Meyer,Academy of Natural Sciences,1832,Member,Corresponding
M. Champvert Montral,Academy of Natural Sciences,1812,Member,Corresponding
T. Milbert,Academy of Natural Sciences,1821,Member,Corresponding
M. A. F. Miot,Academy of Natural Sciences,1825,Member,Corresponding
Samuel L. Mitchill,Academy of Natural Sciences,1812,Member,Corresponding
Elisha Mitchell,Academy of Natural Sciences,1832,Member,Corresponding
M. F. J. Michaux,Academy of Natural Sciences,1818,Member,Corresponding
M. S. G. V. de Moleon,Academy of Natural Sciences,1833,Member,Corresponding
Valentine Mott,Academy of Natural Sciences,1814,Member,Corresponding
Thomas W. Montgomery,Academy of Natural Sciences,1814,Member,Corresponding
Alexander Montgomery,Academy of Natural Sciences,1814,Member,Corresponding
M. Noel de la Morinier,Academy of Natural Sciences,1819,Member,Corresponding
James W. Murray,Academy of Natural Sciences,1814,Member,Corresponding
Henry Muhlenberg,Academy of Natural Sciences,1812,Member,Corresponding
M. Charles Mylius,Academy of Natural Sciences,1822,Member,Corresponding
William Oakes,Academy of Natural Sciences,1830,Member,Corresponding
Aug. J. Oemler,Academy of Natural Sciences,1812,Member,Corresponding
Michael J. O'Kelly,Academy of Natural Sciences,1816,Member,Corresponding
Denison Olmsted,Academy of Natural Sciences,1828,Member,Corresponding
M. Dessalines d'Orbigny,Academy of Natural Sciences,1834,Member,Corresponding
Richard Owen,Academy of Natural Sciences,1834,Member,Corresponding
John Palmer,Academy of Natural Sciences,1817,Member,Corresponding
M. M. Parent,Academy of Natural Sciences,1820,Member,Corresponding
Samuel Parkes,Academy of Natural Sciences,1821,Member,Corresponding
Joseph Barclay Pentland,Academy of Natural Sciences,1821,Member,Corresponding
Jacob Perkins,Academy of Natural Sciences,1813,Member,Corresponding
Robert Peter,Academy of Natural Sciences,1835,Member,Corresponding
Henry Piddington,Academy of Natural Sciences,1835,Member,Corresponding
Zina Pitcher,Academy of Natural Sciences,1830,Member,Corresponding
W. Pierpont,Academy of Natural Sciences,1812,Member,Corresponding
M. Pinel,Academy of Natural Sciences,1815,Member,Corresponding
Joseph Xavier Poli,Academy of Natural Sciences,1820,Member,Corresponding
Joel R. Poinsett,Academy of Natural Sciences,1829,Member,Corresponding
T. D. Porter,Academy of Natural Sciences,1822,Member,Corresponding
M. Alexandre Poutrel,Academy of Natural Sciences,1812,Member,Corresponding
M. Constant Prevost,Academy of Natural Sciences,1823,Member,Corresponding
James Prinsep,Academy of Natural Sciences,1836,Member,Corresponding
J. B. Quimby,Academy of Natural Sciences,1836,Member,Corresponding
L'Abbate Camillo Ranzani,Academy of Natural Sciences,1827,Member,Corresponding
John Randall,Academy of Natural Sciences,1816,Member,Corresponding
Edmund Ravenel,Academy of Natural Sciences,1832,Member,Corresponding
Henry S. Rennolds,Academy of Natural Sciences,1835,Member,Corresponding
Matthew Rhea,Academy of Natural Sciences,1832,Member,Corresponding
C. G. C. Reinwardt,Academy of Natural Sciences,1821,Member,Corresponding
John L. Riddell,Academy of Natural Sciences,1836,Member,Corresponding
William Riley,Academy of Natural Sciences,1833,Member,Corresponding
