Name,Organization,Year Elected,Status,Rank,State Born,Group
William Wade,U.S. Army,1816,Member,Captain,New Jersey,Ordinance Department
M.J. Magee,U.S. Army,1816,Member,Captain,,Ordinance Department
Rufus L. Baker,U.S. Army,1816,Member,First Lieutenant,Connecticut,Ordinance Department
William C. Lyman,U.S. Army,1816,Member,First Lieutenant,Massachusetts,Ordinance Department
Joseph S. Nelson,U.S. Army,1816,Member,Captain by Brevet,Maryland,Ordinance Department
David T. Welsh,U.S. Army,1816,Member,Captain by Brevet,Connecticut,Ordinance Department
James Baker,U.S. Army,1816,Member,First Lieutenant,Connecticut,Ordinance Department
Nehemiah Baden,U.S. Army,1816,Member,First Lieutenant,Maryland,Ordinance Department
Christopher Keiser,U.S. Army,1816,Member,First Lieutenant,Maryland,Ordinance Department
J. Livingston,U.S. Army,1816,Member,First Lieutenant,,Ordinance Department
William Anderson,U.S. Army,1816,Member,First Lieutenant,,Ordinance Department
James Hall,U.S. Army,1816,Member,First Lieutenant,Pennsylvania,Ordinance Department
John W. Thompson,U.S. Army,1816,Member,2d Lt. & 1st by Bvt,Maryland,Ordinance Department
T.P. McMahon,U.S. Army,1816,Member,2d Lt. & 1st by Bvt,Ireland,Ordinance Department
Thomas T. Stephenson,U.S. Army,1816,Member,2d Lieutenant,Dist. Of Columbia,Ordinance Department
J.C. De Hart,U.S. Army,1816,Member,2d Lieutenant,New Jersey,Ordinance Department
John Wilson,U.S. Army,1816,Member,2d Lieutenant,New York,Ordinance Department
R.C. Pomeroy,U.S. Army,1816,Member,2d Lieutenant,Vermont,Ordinance Department
Charles F. Morton,U.S. Army,1816,Member,2d Lieutenant,New York,Ordinance Department
J.W. Phillips,U.S. Army,1816,Member,2d Lieutenant,South Carolina,Ordinance Department
O.O. Bangs,U.S. Army,1816,Member,2d Lieutenant,Massachusetts,Ordinance Department
William F. Rigal,U.S. Army,1816,Member,2d Lieutenant,,Ordinance Department
James Simonson,U.S. Army,1816,Member,3d Lieutenant,New York,Ordinance Department
John Hills,U.S. Army,1816,Member,3d Lieutenant,Massachusetts,Ordinance Department
John Symington,U.S. Army,1816,Member,3d Lieutenant,Delaware,Ordinance Department
W.E. Williams,U.S. Army,1816,Member,3d Lieutenant,,Ordinance Department
W.B. Davidson,U.S. Army,1816,Member,3d Lieutenant,Virginia,Ordinance Department
Joshua Howard,U.S. Army,1816,Member,3d Lieutenant,Massachusetts,Ordinance Department
Charles Ward,U.S. Army,1816,Member,3d Lieutenant,New Hampshire,Ordinance Department
James Mann,U.S. Army,1816,Member,Hospital Surgeon,Massachusetts,Medical Department
David C. Karr,U.S. Army,1816,Member,Hospital Surgeon,Virginia,Medical Department
Samuel Shaw,U.S. Army,1816,Member,Hospital Surgeon,,Medical Department
Benjamin Waterhouse,U.S. Army,1816,Member,Hospital Surgeon,Rhode Island,Medical Department
Tobias Watkins,U.S. Army,1816,Member,Hospital Surgeon,Maryland,Medical Department
James C. Bronaugh,U.S. Army,1816,Member,Hospital Surgeon,Virginia,Medical Department
Joseph Lovell,U.S. Army,1816,Member,Hospital Surgeon,Massachusetts,Medical Department
E.H. Bell,U.S. Army,1816,Member,Hospital Surgeon,North Carolina,Medical Department
J. Stevenson,U.S. Army,1816,Member,Hosp. Surg. Mate,Virginia,Medical Department
Wm. H. Buckner,U.S. Army,1816,Member,Hosp. Surg. Mate,Virginia,Medical Department
Edward Purcell,U.S. Army,1816,Member,Hosp. Surg. Mate,,Medical Department
Joseph Wallace,U.S. Army,1816,Member,Hosp. Surg. Mate,Maryland,Medical Department
William Williams,U.S. Army,1816,Member,Hosp. Surg. Mate,Pennsylvania,Medical Department
William Stewart,U.S. Army,1816,Member,Hosp. Surg. Mate,New Providence,Medical Department
William Marshall,U.S. Army,1816,Member,Hosp. Surg. Mate,South Carolina,Medical Department
Joseph Eaton,U.S. Army,1816,Member,Hosp. Surg. Mate,Massachusetts,Medical Department
B. Delevan,U.S. Army,1816,Member,Hosp. Surg. Mate,New York,Medical Department
Robert Archer,U.S. Army,1816,Member,Hosp. Surg. Mate,Virginia,Medical Department
James Trimble,U.S. Army,1816,Member,Hosp. Surg. Mate,Pennsylvania,Medical Department
Thomas Russell,U.S. Army,1816,Member,Hosp. Surg. Mate,Massachusetts,Medical Department
Albion T. Crow,U.S. Army,1816,Member,Hosp. Surg. Mate,Maryland,Medical Department
George W. Maupin,U.S. Army,1816,Member,Post Surgeon,Virginia,Medical Department
Joseph Goodhue,U.S. Army,1816,Member,Post Surgeon,,Medical Department
James H. Sargeant,U.S. Army,1816,Member,Post Surgeon,Massachusetts,Medical Department
Lemuel B. Clark,U.S. Army,1816,Member,Post Surgeon,New York,Medical Department
William T. Davidson,U.S. Army,1816,Member,Post Surgeon,Pennsylvania,Medical Department
Cornelius Cunningham,U.S. Army,1816,Member,Post Surgeon,Ireland,Medical Department
William Ballard,U.S. Army,1816,Member,Post Surgeon,Massachusetts,Medical Department
Alexander Wolcott,U.S. Army,1816,Member,Post Surgeon,Connecticut,Medical Department
William Turner,U.S. Army,1816,Member,Post Surgeon,New Jersey,Medical Department
Hanson Catlett,U.S. Army,1816,Member,Post Surgeon,Maryland,Medical Department
John H. Sackett ,U.S. Army,1816,Member,Post Surgeon,New York,Medical Department
Samuel A. Walsh,U.S. Army,1816,Member,Post Surgeon,New York,Medical Department
Foster Swift,U.S. Army,1816,Member,Post Surgeon,Massachusetts,Medical Department
John Trevett,U.S. Army,1816,Member,Post Surgeon,New Hampshire,Medical Department
Arnold Elzy,U.S. Army,1816,Member,Post Surgeon,Maryland,Medical Department
German Senter,U.S. Army,1816,Member,Post Surgeon,,Medical Department
W.C. Lane,U.S. Army,1816,Member,Post Surgeon,,Medical Department
Wm. N. Mercer,U.S. Army,1816,Member,Post Surgeon,Maryland,Medical Department
T.I.C. Monroe,U.S. Army,1816,Member,Post Surgeon,Virginia,Medical Department
M.H. Elliot,U.S. Army,1816,Member,Post Surgeon,,Medical Department
Francis Le Baron,U.S. Army,1816,Member,Apothecary General,Massachusetts,Medical Department
Christopher Backus,U.S. Army,1816,Member,Assist. Apothecary,Connecticut,Medical Department
James Cutbush,U.S. Army,1816,Member,Assist. Apothecary,Pennsylvania,Medical Department
James T. Dent,U.S. Army,1816,Member,Judge Advocate,Maryland,Medical Department
R.H. Winder,U.S. Army,1816,Member,Judge Advocate,Maryland,Medical Department
W.O. Winston,U.S. Army,1816,Member,Judge Advocate,Virginia,Medical Department
Thomas Hanson,U.S. Army,1816,Member,Judge Advocate,Dist. Of Columbia,Medical Department
John L. Leib,U.S. Army,1816,Member,Judge Advocate,Pennsylvania,Medical Department
Samuel A. Storrow,U.S. Army,1816,Member,Judge Advocate,New Hampshire,Medical Department
Robert Elliot,U.S. Army,1816,Member,Chaplain,Ireland,Medical Department
Aaron I. Booge,U.S. Army,1816,Member,Chaplain,Connecticut,Medical Department
Cave Jones,U.S. Army,1816,Member,Chaplain,New York,Medical Department
W.L. Macalla,U.S. Army,1816,Member,Chaplain,Kentucky,Medical Department
Callender Irvine,U.S. Army,1816,Member,Commis'ry General,Pennsylvania,Medical Department
John McKinney,U.S. Army,1816,Member,Deputy Commissary,New Jersey,Medical Department
Darby noon,U.S. Army,1816,Member,Deputy Commissary,Ireland,Medical Department
Robert Irvine,U.S. Army,1816,Member,Assist. Commissary,Ireland,Medical Department
James E. Herron,U.S. Army,1816,Member,Assist. Commissary,Pennsylvania,Medical Department
Maurice Prevost,U.S. Army,1816,Member, Assist. Commissary,St. Domingo,Medical Department
Joseph W. Pindar,U.S. Army,1816,Member,Assist. Commissary,Georgia,Medical Department
Edwin Starke,U.S. Army,1816,Member,Assist. Commissary,Virginia,Medical Department
Archibald Steel,U.S. Army,1816,Member,Mil. Store Keeper,Pennsylvania,Medical Department
Samuel Devens,U.S. Army,1816,Member,Mil. Store Keeper,Massachusetts,Medical Department
Synott Bloodgood,U.S. Army,1816,Member,Mil. Store Keeper,New York,Medical Department
John Fellows,U.S. Army,1816,Member,Mil. Store Keeper,Massachusetts,Medical Department
Jonathan Snowden,U.S. Army,1816,Member,Mil. Store Keeper,,Medical Department
Thomas Martin,U.S. Army,1816,Member,Mil. Store Keeper,,Medical Department
Robert Wilson,U.S. Army,1816,Member,Mil. Store Keeper,Pennsylvania,Medical Department
John Chaffee,U.S. Army,1816,Member,Mil. Store Keeper,Connecticut,Medical Department
Lloyd Beall,U.S. Army,1816,Member,Mil. Store Keeper,Maryland,Medical Department
Thomas B. Rutter,U.S. Army,1816,Member,Mil. Store Keeper,Maryland,Medical Department
James Gibson,U.S. Army,1816,Member,Mil. Store Keeper,Ireland,Medical Department
George Hatchett,U.S. Army,1816,Member,Mil. Store Keeper,Pennsylvania,Medical Department
Jacinct Laval,U.S. Army,1816,Member,Mil. Store Keeper,France,Medical Department
Robert Brent,U.S. Army,1816,Member,Paymaster General,Virginia,Medical Department
Satterlee Clark,U.S. Army,1816,Member,Battalion Paymaster,Vermont,Medical Department
A.H. Sneed,U.S. Army,1816,Member,Battalion Paymaster,North Carolina,Medical Department
Joseph Woodruff,U.S. Army,1816,Member,Battalion Paymaster,Georgia,Medical Department
David Gwynne,U.S. Army,1816,Member,Battalion Paymaster,Maryland,Medical Department
David S. Townsend ,U.S. Army,1816,Member,Battalion Paymaster,Massachusetts,Medical Department
Thomas Montgomery,U.S. Army,1816,Member,Battalion Paymaster,,Medical Department
W.D. Lawrence,U.S. Army,1816,Member,Battalion Paymaster,Rhode Island,Medical Department
Leroy Opie,U.S. Army,1816,Member,Battalion Paymaster,Virginia,Medical Department
Jospeh G. Swift,U.S. Army,1816,Member,Col. Br. Gen. Bvt,Massachusetts,Corps of Engineers
Walker K. Armistead,U.S. Army,1816,Member,Lieutenant Colonel,Virginia,Corps of Engineers
Wm. McRee,U.S. Army,1816,Member,Major & Col. Bvt,North Carolina,Corps of Engineers
Charles Gratiot,U.S. Army,1816,Member,Major & Col. Bvt,Missouri Territory,Corps of Engineers
Alden Patridge,U.S. Army,1816,Member,Captain,Vermont,Corps of Engineers
J.G. Totten,U.S. Army,1816,Member,Captain,,Corps of Engineers
Samuel Babcock,U.S. Army,1816,Member,Captain,Massachusetts,Corps of Engineers
Sylvanus Thayer,U.S. Army,1816,Member,Capt. & Maj. Bvt,Massachusetts,Corps of Engineers
Wm. Cutbush,U.S. Army,1816,Member,Captain,Pennsylvania,Corps of Engineers
E. de Russey,U.S. Army,1816,Member,Captain,,Corps of Engineers
Frederick Lewis,U.S. Army,1816,Member,1st Lieutenant,Massachusetts,Corps of Engineers
James Gadsden,U.S. Army,1816,Member,1st Lieutenant,South Carolina,Corps of Engineers
T.W. Maurice,U.S. Army,1816,Member,1st Lieutenant,Virginia,Corps of Engineers
Hipol. Dumas,U.S. Army,1816,Member,1st Lieutenant,,Corps of Engineers
David B. Douglas,U.S. Army,1816,Member,1st Lt. & Capt. Bvt,New Jersey,Corps of Engineers
George Trescott,U.S. Army,1816,Member,1st Lieutenant,South Carolina,Corps of Engineers
J.L. Smith,U.S. Army,1816,Member,2d Lieutenant,,Corps of Engineers
Hor. C. Story,U.S. Army,1816,Member,2d Lt. & 1st by Bvt,Massachusetts,Corps of Engineers
John Wright,U.S. Army,1816,Member,2d Lieutenant,Vermont,Corps of Engineers
George Blaney,U.S. Army,1816,Member,2d Lieutenant,,Corps of Engineers
Thomas J. Leslie,U.S. Army,1816,Member,2d Lieutenant,,Corps of Engineers
William S. Evileth,U.S. Army,1816,Member,2d Lieutenant,Dist. Of Columbia,Corps of Engineers
William H. Chase,U.S. Army,1816,Member,Cadets Attached to Engineer Corps.,,Corps of Engineers
Robert W. Pooler,U.S. Army,1816,Member,Cadets Attached to Engineer Corps.,,Corps of Engineers
Moses Porter,U.S. Army,1816,Member,Col. Br. Gen. Bvt,Massachusetts,Light Artillery
John R. Fenwick,U.S. Army,1816,Member,Lt. Col. & Col. Bvt,South Carolina,Light Artillery
Abram Eustis,U.S. Army,1816,Member,Maj. & Lt. Col. Bvt,Virginia,Light Artillery
Andrew McDowell,U.S. Army,1816,Member,Captain,New Hampshire,Light Artillery
Luther Leonard,U.S. Army,1816,Member,Captain,Vermont,Light Artillery
A.S. Brooks,U.S. Army,1816,Member,Captain & Maj. Bvt,Massachusetts,Light Artillery
Nathan Towson,U.S. Army,1816,Member,Capt. & Lt. Col. Bvt,Maryland,Light Artillery
Samuel D. Harris,U.S. Army,1816,Member,Capt. & Lt. Col. Bvt,Massachusetts,Light Artillery
Arthur W. Thornton,U.S. Army,1816,Member,Captain,Virginia,Light Artillery
J.L. Eastman,U.S. Army,1816,Member,Captain,New Hampshire,Light Artillery
Armstrong Itvine,U.S. Army,1816,Member,Captain,Pennsylvania,Light Artillery
Henry K. Craig,U.S. Army,1816,Member,Captain,Pennsylvania,Light Artillery
John R. Bell,U.S. Army,1816,Member,Captain,New York,Light Artillery
W.F. Hobart,U.S. Army,1816,Member,1st Lieutenant,New Hampshire,Light Artillery
G.N. Morris,U.S. Army,1816,Member,1st Lieutenant,Connecticut,Light Artillery
J.H. Wilkins,U.S. Army,1816,Member,1st Lieutenant,Pennsylvania,Light Artillery
John Gates Jr.,U.S. Army,1816,Member,1st Lieutenant,New York,Light Artillery
John A. Shaw,U.S. Army,1816,Member,1st Lieutenant,Pennsylvania,Light Artillery
N.Clark,U.S. Army,1816,Member,1st Lieutenant,Georgia,Light Artillery
Wm. Lyman,U.S. Army,1816,Member,1st Lieutenant,Massachusetts,Light Artillery
Henry Saunders ,U.S. Army,1816,Member,1st Lieutenant,Virginia,Light Artillery
S.M. Mackay,U.S. Army,1816,Member,1st Lieutenant,Vermont,Light Artillery
George E. Wells,U.S. Army,1816,Member,1st Lieutenant,Massachusetts,Light Artillery
E. Lyon,U.S. Army,1816,Member,2d Lieutenant,Massachusetts,Light Artillery
S. Washburn,U.S. Army,1816,Member,2d Lieutenant,Vermont,Light Artillery
H.Stanton,U.S. Army,1816,Member,2d Lieutenant,Vermont,Light Artillery
G. Drane,U.S. Army,1816,Member,2d Lieutenant,Maryland,Light Artillery
W. Smith,U.S. Army,1816,Member,2d Lieutenant,New York,Light Artillery
H.F. Evans,U.S. Army,1816,Member,2d Lieutenant,Maryland,Light Artillery
R.F. Massie,U.S. Army,1816,Member,2d Lieutenant,Virginia,Light Artillery
J. Irvine,U.S. Army,1816,Member,2d Lieutenant,Pennsylvania,Light Artillery
W.Wells,U.S. Army,1816,Member,2d Lieutenant,Massachusetts,Light Artillery
John A. Webber,U.S. Army,1816,Member,2d Lieutenant Bvt,Massachusetts,Light Artillery
Thomas J. Gardner,U.S. Army,1816,Member,2d Lieutenant Bvt,New York,Light Artillery
B. L. E. Bonneville,U.S. Army,1816,Member,2d Lieutentant Bvt,France,Light Artillery
James R. Stubbs,U.S. Army,1816,Member,2d Lieutenant Bvt,Kentucky,Light Artillery
Edward S. Gantt,U.S. Army,1816,Member,2d Lieutenant Bvt,Kentucky,Light Artillery
C. Davies,U.S. Army,1816,Member,2d Lieutentant Bvt,Connecticut,Light Artillery
Richard M. White,U.S. Army,1816,Member,2d Lieutentant Bvt,South Carolina,Light Artillery
Samuel Cooper,U.S. Army,1816,Member,2d Lieutenant Bvt,New Jersey,Light Artillery
Lewis Dunham,U.S. Army,1816,Member,Surgeon,New Jersey,Light Artillery
W. H Livingston,U.S. Army,1816,Member,Surgeon's Mate.,New York,Light Artillery
George E. Mitchell,U.S. Army,1816,Member,Lt. Col. & Col. Bvt,Maryland,Corps of Artillery
James House,U.S. Army,1816,Member,Lieutenant Colonel,Connecticut,Corps of Artillery
William Lindsay,U.S. Army,1816,Member,Lieutenant Colonel,Virginia,Corps of Artillery
William Macrea,U.S. Army,1816,Member,Lieutenant Colonel,Pennsylvania,Corps of Artillery
George Armistead,U.S. Army,1816,Member,Maj. & Lt. Col. Bvt,Virginia,Corps of Artillery
James B. Many,U.S. Army,1816,Member,Major,Delaware,Corps of Artillery
J. Hindman,U.S. Army,1816,Member,Major & Col. Bvt,Maryland,Corps of Artillery
James Bankhead,U.S. Army,1816,Member,Major,Virginia,Corps of Artillery
Charles Wolstoncraft,U.S. Army,1816,Member,Captain & Maj. Bvt,England,Corps of Artillery
John B. Walbach,U.S. Army,1816,Member,Capt. & Lt. Col. Bvt,Ger,Corps of Artillery
Moses Swett,U.S. Army,1816,Member,Captain,Massachusetts,Corps of Artillery
William Wilson,U.S. Army,1816,Member,Captain,Maryland,Corps of Artillery
E. Humphreys,U.S. Army,1816,Member,Capt. & Maj. Bvt,Connecticut,Corps of Artillery
James Reed,U.S. Army,1816,Member,Captain,Pennsylvania,Corps of Artillery
J.B. Crane,U.S. Army,1816,Member,Capt. & Maj. Bvt,New Jersey,Corps of Artillery
Roger Jones,U.S. Army,1816,Member,Capt. & Lt. Col. Bvt,Virginia,Corps of Artillery
S.B. Archer,U.S. Army,1816,Member,Capt. & Maj. Bvt,Virginia,Corps of Artillery
S. Donoho,U.S. Army,1816,Member,Captain,North Carolina,Corps of Artillery
"Thomas Biddle, Jun.",U.S. Army,1816,Member,Captain & Maj. Bvt,Pennsylvania,Corps of Artillery
J.T.B. Romayne,U.S. Army,1816,Member,Captain,New York,Corps of Artillery
William O. Allen,U.S. Army,1816,Member,captain,Virginia,Corps of Artillery
Thomas Stockton,U.S. Army,1816,Member,Capt. & Maj. Bvt,Delaware,Corps of Artillery
Thomas Murray,U.S. Army,1816,Member,Captain,Maryland,Corps of Artillery
William Gates,U.S. Army,1816,Member,Captain,Massachusetts,Corps of Artillery
A.C.W. Fanning,U.S. Army,1816,Member,Capt. & Maj. Bvt,Massachusetts,Corps of Artillery
J.M. O'Conner,U.S. Army,1816,Member,Captain,Pennsylvania,Corps of Artillery
"J. Roach, Jun.",U.S. Army,1816,Member,Captain,Pennsylvania,Corps of Artillery
J.F. Heileman,U.S. Army,1816,Member,Captain,Massachusetts,Corps of Artillery
H. Yeaton,U.S. Army,1816,Member,Captain,New Hampshire,Corps of Artillery
Thomas Bennet,U.S. Army,1816,Member,Captain,New Jersey,Corps of Artillery
Robert G. Hite,U.S. Army,1816,Member,Captain,Virginia,Corps of Artillery
S. Churchill,U.S. Army,1816,Member,Captain,,Corps of Artillery
B.K. Pierce,U.S. Army,1816,Member,Captain,,Corps of Artillery
John Biddle,U.S. Army,1816,Member,Captain,Pennsylvania,Corps of Artillery
G.P. Peters,U.S. Army,1816,Member,Captain,New Hampshire,Corps of Artillery
M.M. Payne,U.S. Army,1816,Member,Captain,Virginia,Corps of Artillery
Ethan A. Allen,U.S. Army,1816,Member,Captain,Vermont,Corps of Artillery
Nathaniel N. Hall,U.S. Army,1816,Member,Captain,Massachusetts,Corps of Artillery
M.P. Lomax,U.S. Army,1816,Member,Captain,Virginia,Corps of Artillery
Milo Mason,U.S. Army,1816,Member,Captain,Vermont,Corps of Artillery
Adrian Niel,U.S. Army,1816,Member,1st Lieutenant,St. Domingo,Corps of Artillery
John Farley,U.S. Army,1816,Member,1st Lieutenant,New Hampshire,Corps of Artillery
Wm. M. Read,U.S. Army,1816,Member,1st Lieutenant,Pennsylvania,Corps of Artillery
L. Brown,U.S. Army,1816,Member,1st Lieutenant,South Carolina,Corps of Artillery
Luther Scott,U.S. Army,1816,Member,2st Lt. & Capt. Bvt,Connecticut,Corps of Artillery
R.R. Ruffin,U.S. Army,1816,Member,1st Lieutenant,Virginia,Corps of Artillery
Kenneth McKenzie,U.S. Army,1816,Member,1st Lt. & Capt. Bvt,Maryland,Corps of Artillery
"J. Erving, Jun.",U.S. Army,1816,Member,1st Lieutenant,,Corps of Artillery
A.L. Sandes,U.S. Army,1816,Member,1st Lieutenant,Connecticut,Corps of Artillery
Thomas I. Beall,U.S. Army,1816,Member,1st Lt. & Capt. Bvt,Maryland,Corps of Artillery
Richard A. Zantzinger,U.S. Army,1816,Member,1st Lt. & Capt. Bvt,Pennsylvania,Corps of Artillery
W.R. Duncan,U.S. Army,1816,Member,1st Lieutenant,Pennsylvania,Corps of Artillery
Chester Root,U.S. Army,1816,Member,1st Lt. & Capt. Bvt,Massachusetts,Corps of Artillery
T. Randall,U.S. Army,1816,Member,1st Lt. & Capt. Bvt,Maryland,Corps of Artillery
Gus. Loomis,U.S. Army,1816,Member,1st Lieutenant,Vermont,Corps of Artillery
Philip D. Spencer,U.S. Army,1816,Member,1st Lieutenant,New York,Corps of Artillery
J. Mountford,U.S. Army,1816,Member,1st Lt. & Capt. Bvt,Massachusetts,Corps of Artillery
F. Whiting,U.S. Army,1816,Member,1st Lieutenant,Massachusetts,Corps of Artillery
Edwin Sharp,U.S. Army,1816,Member,1st Lieutenant,North Carolina,Corps of Artillery
G. Dearborn,U.S. Army,1816,Member,1st Lieutenant,Massachusetts,Corps of Artillery
Felix Ansart,U.S. Army,1816,Member,1st Lieutenant,Massachusetts,Corps of Artillery
T.C. Legate,U.S. Army,1816,Member,1st Lieutenant,Massachusetts,Corps of Artillery
D. Frazer,U.S. Army,1816,Member,1st lt. & Maj. Bvt,New York,Corps of Artillery
S. Armstrong,U.S. Army,1816,Member,1st Lieutenant,Massachusetts,Corps of Artillery
R. McClelland,U.S. Army,1816,Member,1st Lieutenant,New York,Corps of Artillery
S. Spotts,U.S. Army,1816,Member,1st Lt. & Capt. Bvt,Pennsylvania,Corps of Artillery
L. Whiting,U.S. Army,1816,Member,1st Lieutenant,Massachusetts,Corps of Artillery
W.H. Nicoll,U.S. Army,1816,Member,1st Lieutenant,Georgia,Corps of Artillery
J.W. Kincaid,U.S. Army,1816,Member,1st Lieutenant,Virginia,Corps of Artillery
Robert Goode,U.S. Army,1816,Member,1st Lieutenant,Virginia,Corps of Artillery
Francis O. Byrd,U.S. Army,1816,Member,1st Lieutenant,,Corps of Artillery
George D. Snyder,U.S. Army,1816,Member,1st Lieutenant,Pennsylvania,Corps of Artillery
"J.W. Lent, Jun.",U.S. Army,1816,Member,2d Lieutenant,New York,Corps of Artillery
Aeneas McKay,U.S. Army,1816,Member,2d Lt. & 1st by Bvt,New York,Corps of Artillery
William Coffie,U.S. Army,1816,Member,2d Lt. & 1st by Bvt,Ireland,Corps of Artillery
Joseph Bosque,U.S. Army,1816,Member,2d Lieutenant,,Corps of Artillery
Joseph P. Prince,U.S. Army,1816,Member,2d Lieutenant,South Carolina,Corps of Artillery
Richard Bache,U.S. Army,1816,Member,2d Lt. & 1st by Bvt,Pennsylvania,Corps of Artillery
P.J. Neville,U.S. Army,1816,Member,2d Lieutenant,Pennsylvania,Corps of Artillery
M.S. Massey,U.S. Army,1816,Member,2d Lieutentant  ,Pennsylvania,Corps of Artillery
T.W. Denton,U.S. Army,1816,Member,2d Lt. & 1st by Bvt,New York,Corps of Artillery
Charles Anthony,U.S. Army,1816,Member,2d Lieutenant,Rhode Island,Corps of Artillery
W. McClintock,U.S. Army,1816,Member,2d Lieutenant,Massachusetts,Corps of Artillery
L.H. Osgood,U.S. Army,1816,Member,2d Lieutenant,New Hampshire,Corps of Artillery
J. Henderson,U.S. Army,1816,Member,2d Lieutenant,Ireland,Corps of Artillery
P. Melendy,U.S. Army,1816,Member,2d Lieutenant,New Hampshire,Corps of Artillery
Joseph Taylor,U.S. Army,1816,Member,2d Lt. & 1st by Bvt,Kentucky,Corps of Artillery
James D. Brown,U.S. Army,1816,Member,2d Lt. & 1st by Bvt,Vermont,Corps of Artillery
H.M. Campbell,U.S. Army,1816,Member,2d Lt. & Capt. Bvt,Pennsylvania,Corps of Artillery
Robert Beall,U.S. Army,1816,Member,2d Lieutenant,,Corps of Artillery
John A. Dix,U.S. Army,1816,Member,2d Lieutenant,New Hampshire,Corps of Artillery
G.W. Boyd,U.S. Army,1816,Member,2d Lieutenant,New Hampshire,Corps of Artillery
