Name,year started,year ended,City,State,type,,,,,
John Bell,1848,1851,Philadelphia,PA,O,,,,,
John G. Bell,1853,1856,New York,NY,O,,,,,
John James Bell,1853,1854,Carmel,ME,O,,,,,
Sanmuel Newell Bell,1853,,Manchester,NH,O,,,,,
Sanford Bell,1860,1860,Springfield,IL,O,,,,,
Charles E. Belle,1857,1859,Montreal,Canada,O,,,,,
John Bellinger,1850,1851,Charleston ,SC,O,,,,,
Henry Whitney  Bellows,1851,1854,New York,NY,O,,,,,
Nathan Sidney S. Beman,1851,1854,Troy,NY,O,,,,,
Erastus Cornelius Benedict,1856,1858,New York,NY,O,,,,,
Farrand Northrup Benedict,1848,1859,Parisippany,NY,O,,,,,
Noah Bennet Benedict,1856,1860,New Orleans,LA,O,,,,,
Thomas B. Benedict,1857,1860,Kirk's Ferry,LA,O,,,,,
Silas Bent,1856,,New York,NY,O,,,,,
Cyrus Bentley,1859,,Chicago,IL,O,,,,,
Charles Benton,1857,,Oxbow,NY,O,,,,,
Hiram Berdon,1858,1860,New York,NY,O,,,,,
William Berezy,1857,1860,Daillehaut,Canada,O,,,,,
A. Bernard,1857,1859,Montreal,Canada,O,,,,,
Edward L. Berthoud,1853,1854,Maysville ,KY,O,,,,,
S. R. Berton,1857,1857,Port Gibson,MS,O,,,,,
J. G. Bibaud,1857,1857,Montreal,Canada,O,,,,,
Walter Hilliars Bidwell,1857,1860,New York,NY,O,,,,,
L. V. Bierce,1853,1853,Akron ,OH,O,,,,,
Artemas Bigelow,1855,,Newark,NJ,O,,,,,
Henry Jacob Bigelow,1848,1854,Boston,MA,O,,,,,
Jacob Bigelow,1849,1854,Boston,MA,O,,,,,
Lansing Biggs,1853,1853,Auburn,NY,O,,,,,
Elkanah Billings,1857,1859,Montreal,Canada,O,,,,,
Joel Foote Bingham,1853,1855,New York,NY,O,,,,,
R. S. Binkerd,1856,1856,Germantown,OH,O,,,,,
Amos Binney,1848,1848,Boston ,MA,O,,,,,deceased AAGN member
John Binney,1850,1857,Boston ,MA,O,,,,,
George S. Blackie,1856,1860,Nashville,TN,O,,,,,
Henry Blackmarr,1857,1859,Rochester,NY,O,,,,,
Franklin Otis Blair,1859,,Lebanon,IL,O,,,,,
C. M. Blake,1857,1859,,Chile,O,,,,,
Eli Whitney Blake,1848,,New Haven,CT,O,,,,,inactive 1854-1856
J. R. Blake,1856,,LeGrange,TN,O,,,,,
John Lauris Blake,1848,1851,Boston,MA,O,,,,,
William Blanding,1848,death,,RI,O,,,,,
James V. Z. Blaney,1858,,Chicago,IL,O,,,,,
Wilhelm Blasius,1852,1855,New York,NY,O,,,,,
Thomas W. Blatchford,1851,1858,Troy,NY,O,,,,,inactive 1854-1856
Albert Taylor Bledsoe,1858,1860,Charlottesville,VA,O,,,,,
George Bliss,1850,1854,Springfield,MA,O,,,,,
C. E. Blumenthal,1850,1854,Carlisle,PA,O,,,,,
James Bolton,1856,1860,Richmond,VA,O,,,,,inactive 1857-1858
George Bomford,1848,1848,Washington,DC,O,,,,,
J. B. Bonar,1857,1859,Montreal,Canada,O,,,,,
Henry Bond,1848,1854,Philadelphia,PA,O,,,,,
Charles Bonnycastle,1848,1859,Montreal,Canada,O,,,,,
James Curtis Booth,1848,1854,Philadelphia,PA,O,,,,,
John Nelson Borland,1855,1857,Boston,MA,O,,,,,
Vincenzo Botta,1855,1860,New York,NY,O,,,,,
C. O. Boutelle,1850,1854,Washington,DC,O,,,,,
Thomas Tracy Bouve',1848,,Boston ,MA,O,,,,,
A. H. Bowman,1849,1854,Charleston ,SC,O,,,,,
Francis Caswell Bowman,1858,1860,New York,NY,O,,,,,
George W. Boyd,1848,1854,Charlottesville,,O,,,,,
Uriah Atherton Boyden,1849,1859,Boston,MA,O,,,,,
Edward Carlisle Boynton,1859,,Oxford,MS,O,,,,,
John F. Boynton,1850,1859,Chicago ,IL,O,,,,,
John Peirce Brace,1849,1854,Hartford,CT,O,,,,,
George W. Bradford,1856,1858,Homer,NY,O,,,,,
Hezekiah Bradford,1853,1855,New York,NY,O,,,,,
Isaac Bradford,1860,,Cambridge,MA,O,,,,,
James C. Bradford,1857,1859,Elyria,OH,O,,,,,
Luther Bradish,1848,1853,New York,NY,O,,,,,
Francis Bradley,1850,1854,New Haven,CT,O,,,,,
A. Brainerd,1853,1853,Norwald,OH,O,,,,,
Joseph Braithwaite,1857,1859,Chambly,Canada,O,,,,,
James R. Brant,1855,1858,New York,NY,O,,,,,
J. B. Braw,1851,1854,Hartford,CT,O,,,,,
Robert Jefferson Breckenridge,1851,1854,Lexington,KY,O,,,,,
Fist Parsons Brewer,1857,,New Haven,CT,O,,,,,
Robert Bridges,1848,1850,Philadelphia,PA,O,,,,,
A. D. Briggs,1859,,Springfield,MA,O,,,,,
Caleb Briggs,1851,1854,Ironton,OH,O,,,,,
Charles Briggs,1848,1851,Columbus,OH,O,,,,,
Charles C. Briggs,1848,1851,Charlottesville,VA,O,,,,,
George Ware Briggs,1857,1857,Pittsfield,PA,O,,,,,
Thomas Clark Brinsmade,1851,1854,Troy,NY,O,,,,,
William Briston,1857,1859,Montreal,Canada,O,,,,,
A. A. Britton,1853,1855,Keokuk,Iowa,O,,,,,
William Bross,1853,,Chicago,IL,O,,,,,
B. B. Brown,1848,1851,St. Louis,MO,O,,,,,
John Carter Brown,1855,1859,Providence,RI,O,,,,,
Richard Brown,1848,,Sydney,Capta Breton,O,,,,,
Robert Brown,1857,,Cincinnati,OH,O,,,,,
W. Leroy Brown,1853,1857,Oakland,MS,O,,,,,
Daniel Jay Browne,1848,1853,New York,NY,O,,,,,
Robert H. Browne,1848,1854,New York,NY,O,,,,,
Richard Tapier Brumby,1848,1854,Tuscaloosa ,AL,O,,,,,
George S. Brush,1857,1859,Montreal,Canada,O,,,,,
Joseph Rodes Buchanan,1851,1854,Cincinnati,OH,O,,,,,
David Buckland,1853,1855,Brandon  ,VT,O,,,,,
Samuel Botsford Buckley,1848,1854,New York,NY,O,,,,,
B. W. Budd,1848,1851,New York,NY,O,,,,,
David Buell,1851,1858,Troy,NY,O,,,,,inactive1854-1857
Thomas Bulfinch,1848,1851,Boston,MA,O,,,,,
John Williams Bulkley,1856,1858,Brooklyn,NY,O,,,,,
Edward F. Bullard,1856,1858,Waterford,NY,O,,,,,
Thomas Legere Burden,1850,1854,Charleston ,SC,O,,,,,
F. Burdett,1848,1851,Boston ,MA,O,,,,,
Enoch Ritch Burr,1851,1854,Lyme,CT,O,,,,,
C. V. W. Burton,1851,1859,Lansingburg,NY,O,,,,,inactive 1854-1857
George N. Burwell,1851,1854,Buffalo,NY,O,,,,,
James Busher,1855,,Worcester,MA,O,,,,,
James Davis Butler,1859,,Madison,WI,O,,,,,
Thomas Belden Butler,1856,,Norwalk,CT,O,,,,,
James Lawrence Cabell,1851,,Charlottesville,VA,O,,,,,
Edward Clarke Cabot,1848,1854,Boston,MA,O,,,,,
Henry Cabot,1848,1851,Boston,MA,O,,,,,
James Elliott Cabot,1848,1851,Boston ,MA,O,,,,,
Samuel Cabot,1848,1851,Boston ,MA,O,,,,,
Calvin Brainerd Cady,1857,1859,Alburgh,VT,O,,,,,
D. J. C. Cain,1850,1854,Charleston ,SC,O,,,,,
John D. Caldwell,1851,1854,Cincinnati,OH,O,,,,,
Alonzo Calkars,1848,1851,New York,NY,O,,,,,
Daniel Cameron,1856,1856,Johnstown,NY,O,,,,,
Hector Cameron,1857,1857,Toronto ,Canada,O,,,,,
A. D. Campbell,1857,1859,Montreal,Canada,O,,,,,
Archibald Barrington Campbell,1848,1851,Philadelphia,PA,O,,,,,
George W. Campbell,1857,1859,Montreal,Canada,O,,,,,
John Nicholson Campbell,1856,1858,New York,NY,O,,,,,
Robert Campbell,1848,1854,Pittsfield,MA,O,,,,,
W. D. Campbell,1857,1859,Quebec,Canada,O,,,,,
William M. Campbell,1853,1853,Battle Creek,MI,O,,,,,
Edward W. B. Canning,1850,1851,Stockbridge ,MA,O,,,,,
T. P. Cappy,1850,1854,Montgomery,AL,O,,,,,
David I. Capron,1853,,Annapolis,MD,O,,,,,
Henry Charles Carey,1854,1856,Burlington,NJ,O,,,,,
James Henry Carleton,1853,1856,Fort Leavenworth,MO,O,,,,,
S. T. Carley,1851,1859,Cincinnati,OH,O,,,,,
George W. Carpenter,1851,1854,Albany ,NY,O,,,,,
J. N. Carpenter,1851,1854,Albany,NY,O,,,,,
Thornton Carpenter,1853,death,Camden,SC,O,,,,,
William Marbury Carpenter,1848,1848,New Orleans,LA,O,,,,,
Ezra Carr,1848,,Albany,NY,O,,,,,inactive 1851-1855
Restor C. Carter,1851,1854,Cincinnati,OH,O,,,,,
George Etienne Cartier,1857,1859,Montreal,Canada,O,,,,,
William Case,1851,1860,Cleveland,OH,O,,,,,
Samuel Addison Casseday,1851,1854,Louisville,KY,O,,,,,
John Long Cassells,1848,,Cleveland,OH,O,,,,,inactive 1850-1853
John Cassin,1848,1853,Philadelphia,PA,O,,,,,inactive 1851
Michael P. Cavert,1856,1858,Amsterdam ,NY,O,,,,,
Paul Ansel Chadbourne,1859,,Williamstown,MA,O,,,,,
Frank Chamberlain,1856,1858,Albany,NY,O,,,,,
Nathan Henry Chamberlain,1849,1851,Boston,MA,O,,,,,
B. C. Chamberlin,1857,1859,Montreal,Canada,O,,,,,
John Chandler,1848,1851,Boston,MA,O,,,,,
Walter Channing,1849,1851,Boston ,MA,O,,,,,
William Francis Channing,1849,1859,Davenport,Iowa,O,,,,,
Aaron Lucius Chapin,1860,,Beloit,WI,O,,,,,
Lebeus Cornelius Chapin,1857,,New Haven,CT,O,,,,,
C. B. Chapman,1857,,Madison,WI,O,,,,,
Edward Chapman,1857,1859,Toronto ,Canada,O,,,,,
Nathaniel Chapman,1848,1853,Philadelphia,PA,O,,,,,
John Cappellsmith,1853,1855,New Harmony,IN,O,,,,,
Benjamin Chase,1853,1859,Natchez ,MI,O,,,,,
D. Chase,1849,1851,Hanover,NH,O,,,,,
Stephen Chase,1849,1853,Dartmouth,NH,O,,,,,
Theodore R. Chase,1853,1856,Cleveland,OH,O,,,,,
Pierre J. O. Chauveau,1857,1859,Montreal,Canada,O,,,,,
C. U. Chauvenet,1848,1854,Annapolis,MD,O,,,,,a note on SFB return of Wm. Chauvenet stated this individual did not exist
A. Cheesborough,1851,1854,Springfield,MA,O,,,,,
B. D. Chenowith,1850,1854,Winchester,VA,O,,,,,
Ellis Sylvester Chesbrough,1849,,Chicago,IL,O,,,,,
C. Chester,1854,1854,Rochester,NY,O,,,,,
C. M. Cheves,1850,1854,Charleston ,SC,O,,,,,
Jesse Chickering,1848,1851,Boston,MA,O,,,,,
J. R. Chilton,1848,1851,New York,NY,O,,,,,
Charles Francis Choate,1853,1856,Cambridge,MA,O,,,,,
Albert E. Church,1856,,West Point,NY,O,,,,,
Franklin H. Churchill,1853,1853,New York,NY,O,,,,,
Marlborough Churchill,1859,,Sing Sing,NY,O,,,,,
Asahel Clapp,1848,,New Albany,IN,O,,,,,
Francis M. Clark,1851,1854,West Point,NY,O,,,,,
J. H. Clark,1858,1860,Philadelphia,PA,O,,,,,
James Clark,1854,1860,Georgetown ,DC,O,,,,,
John S. Clark,1857,1857,New Orleans ,LA,O,,,,,
Joseph Clark,1851,,Cincinnati,OH,O,,,,,
Lester M. Clark,1851,1858,Canandaigua,NY,O,,,,,inactive 1854-1856
Thomas March Clark,1855,1855,Providence,RI,O,,,,,
William P. Clark,1848,1855,Norwalk,OH,O,,,,,
William P. Clark,1853,1855,Hillsdale,MI,O,,,,,inactive 1854
William Smith Clark,1849,1853,East Hampton,MA,O,,,,,
Alpheus Bryant Clarks,1859,,Holyoke,MA,O,,,,,
Francis N. Clarke,1850,1854,West Point,NY,O,,,,,
Henary Clarke,1860,,Worcester,MA,O,,,,,
Robert Clarke,1853,1858,Cincinnati,OH,O,,,,,
Joseph A. Clay,1848,1854,Philadelphia,PA,O,,,,,
A. B. Cleaveland,1849,1856,Cambridge,MA,O,,,,,
A. B .Cleaveland,1849,1851,Dedham,MA,O,,,,,
C. H. Cleaveland,1855,,Cincinnati,OH,O,,,,,
Parker Cleaveland,1848,1854,Brunswick,ME,O,,,,,
E. B. Cleghorn,1857,1859,New Orleans,LA,O,,,,,
H. H. Clement,1855,1857,Providence,RI,O,,,,,
Thomas Lanier Clingman,1848,1854,Asheville,NC,O,,,,,
Henry A. Clum,1855,,New York,NY,O,,,,,
Titus Coan,1848,1855,Hilo,Hawaii,O,,,,,
Benjamin Horner Coates,1848,1857,Philadelphia,PA,O,,,,,
Reynell Coates,1848,1854,Philadelphia,PA,O,,,,,
Nelson Ebenezer Cobleigh,1859,,Lebanon,IL,O,,,,,
J. W. Cochron,1857,1859,New York,NY,O,,,,,
Charles Carlton Coffin,1859,,Malden ,MA,O,,,,,
Mason Fitch Cogswell,1850,1858,Albany,NY,O,,,,,
J. J. Cohen,1848,1854,Baltimore,MD,O,,,,,
Seth Cole,1856,1856,Albany,NY,O,,,,,
Thomas Cole,1848,1860,Salem ,MA,O,,,,,
Henry Coleman,1848,death,Boston ,MA,O,,,,,
G. H. Collier,1857,1859,Wheaton,IL,O,,,,,
D. B. Collins,1857,1859,Carlisle,PA,O,,,,,
George Lewis Collins,1855,1857,Providence,RI,O,,,,,
Oliver Colton,1849,1851,Salem ,MA,O,,,,,
Willis S. Colton,1854,1857,New Haven,CT,O,,,,,
George Fisk Comfort,1856,1858,Middletown,CT,O,,,,,
Cyrus Ballou Comstock,1860,,West Point,NY,O,,,,,
J. C. Comstock,1857,1859,Hartford,CT,O,,,,,
John Lee Comstock,1851,1854,Hartford,CT,O,,,,,
Marshall Conant,1853,,South Bridgewater,MA,O,,,,,
Charles Taber Congdon,1848,1860,New York,NY,O,,,,,
A. B. Conger,1856,1856,Haverstown,NY,O,,,,,
J. S. Conkey,1851,1855,Jefferson County,NY,O,,,,,
Frederick Augustus Conkling,1857,,New York,NY,O,,,,,
Timothy Abbott Conrad,1848,1850,Philadelphia,PA,O,,,,,
Charles C. Convers,1851,1854,Zanesville,OH,O,,,,,
Moncure Daniels Conway,1860,,Cincinnati,OH,O,,,,,
George Hammel Cooke,1848,,Troy,NY,O,,,,,
Robert L. Cooke,1853,1856,Essex County,NJ,O,,,,,
James E. Cooley,1856,1858,New York,NY,O,,,,,
George F. Cooper,1853,1853,Houston County,GA,O,,,,,
James Graham Cooper,1856,1858,Orange,NJ,O,,,,,
William Cooper,1848,1859,Hoboken,NJ,O,,,,,inactive 1854-1855
Joseph S. Copes,1857,,New Orleans,LA,O,,,,,
John Cordner,1857,1859,Montreal,Canada,O,,,,,
George Henry Corless,1855,1855,Providence,RI,O,,,,,
Erastus Corning,1851,,Albany,NY,O,,,,,
Thomas D. Coryell,1859,,Madison,WI,O,,,,,
B. C. Cotting,1848,1854,,GA,O,,,,,
Thomas J. Cottle,1856,1860,Woodstock,Canada,O,,,,,
Carius Nash Couch,1854,1856,Washington,DC,O,,,,,
Oliver Coulton,1849,1851,,MA,O,,,,,
Joseph P. Couthouy,1848,1854,New York,NY,O,,,,,
J. P. Cowan,1857,1859,Montreal,Canada,O,,,,,
Christopher C. Cox,1856,1860,Easton ,MD,O,,,,,
Samuel Hanson Cox,1856,1856,New York,NY,O,,,,,
Issachar Cozzens,1848,1854,New York,NY,O,,,,,
Hugh Craig,1853,1853,Jefferson ,SC,O,,,,,
Robert Craik,1857,,Montreal,Canada,O,,,,,
John Mockett Cramp,1857,,Acadia College,Nova Scotia,O,,,,,
Pardon S. Crandall,1856,1858,Troy,NY,O,,,,,
John Chapman Cresson,1848,1854,Philadelphia,PA,O,,,,,
Henry Croft,1857,1859,Toronto ,Canada,O,,,,,
Alpheus Crosby,1856,,Hanover,NH,O,,,,,
Richard Crissley,1849,1851,Boston ,MA,O,,,,,
Edwin Croswell,1851,1858,Albany,NY,O,,,,,inactive 1854-1856
James Cruikshank,1856,1858,Albany,NY,O,,,,,
Joseph Cummings,1859,,Middletown,CT,O,,,,,
William M. Cummings,1857,1859,New York,NY,O,,,,,
Thurlow Cunynghame,1857,1859,Montreal,Canada,O,,,,,
W. F. Curry,1857,,Geneva ,NY,O,,,,,
James L. Curtis,1851,1854,,,O,,,,,
Jasper Curtis,1857,1859,St. Albans,VT,O,,,,,
Josiah Curtis,1848,1854,Lowell,MA,O,,,,,
L. W. Curtis,1849,1854,Unionville,SC,O,,,,,
Moses Ashley Curtis,1849,1851,Society Hill,SC,O,,,,,
Charles W. Curtiss,1859,,Evanston,IL,O,,,,,
Richard D. Cutts,1853,1855,San Francisco,CA,O,,,,,
Nacisse Cyr,1857,1857,Montreal,Canada,O,,,,,
John A. B. Dahlgren,1853,1855,Washington,DC,O,,,,,
Francis E Dakin,1856,1856,Freeport ,IL,O,,,,,
L. D. Dale,1848,1851,New York,NY,O,,,,,
E. A. Dalrymple,1857,,Baltimore,MD,O,,,,,
Augustus Dalson,1851,1854,Cambridge,MA,O,,,,,
John Call Dalton,1857,1859,New York,NY,O,,,,,
J. J. Dana,1848,1851,South Adam,MA,O,,,,,
Samuel Luther Dana,1848,1850,Lowell,MA,O,,,,,
Edward Danforth,1857,,Grand Rapids,MI,O,,,,,
W. C. Daniels,1848,1854,Savannah,GA,O,,,,,
G. B. Darracott,1849,1851,Boston ,MA,O,,,,,
James R. Davenport,1851,1858,Albany,NY,O,,,,,inactive 1854-1856
A. H. David,1857,1859,Montreal,Canada,O,,,,,
Robert Davidson,1856,1859,New Brunswick,NJ,O,,,,,
Charles Davies,1859,,Fishkill Landing,NY,O,,,,,
W. H. Davies,1857,1859,Toronto ,Canada,O,,,,,
W. H. A. Davies,1857,1860,Montreal,Canada,O,,,,,
Charles Davis,1850,1854,Charleston ,SC,O,,,,,
Emerson Davis,1851,1854,Westfield,MA,O,,,,,
James Davis,1848,,Boston,MA,O,,,,,
Noah Knowles Davis,1855,1859,Marion,AL,O,,,,,
Charles D. Day,1857,1859,Montreal,Canada,O,,,,,
Jeremiah Day,1850,1854,New Haven,CT,O,,,,,
John J. Day,1857,1859,Montreal,Canada,O,,,,,
Aaron Ogden Dayton,1850,1857,Washington,DC,O,,,,,
Edwin A Dayton,1853,1859,Lawrence County,NY,O,,,,,
Amos Dean,1851,,Albany,NY,O,,,,,
Philotus Dean,1853,1857,Alleghany,PA,O,,,,,
James Deane,1848,1851,Greenfield  ,MA,O,,,,,
Henry A. S. Dearborn,1848,1851,Roxbury ,MA,O,,,,,
William L. Dearborn,1848,1854,Roxbury ,MA,O,,,,,inactive 1851-1853
Charles F. Deems,1853,1853,Greensboro,NC,O,,,,,
James Ellsworth DeKay,1848,1851,New York,NY,O,,,,,
Joseph C. Delano,1851,,New Bedford,MA,O,,,,,
Edward Cornelius Delavan,1856,1858,Albany,NY,O,,,,,
Claudius B. Denson,1858,,Duplin County,NC,O,,,,,
H. A. DeSaussure,1850,1854,Charleston ,SC,O,,,,,
H. W. DeSausure,1850,1854,Charleston ,SC,O,,,,,
Charles Devol,1856,1859,Albany,NY,O,,,,,
Chester Dewey,1848,,Rochester,NY,O,,,,,
John DeWolf,1854,1857,Bristol,RI,O,,,,,
G. M. Dexter,1857,,Boston ,MA,O,,,,,
George Dexter,1856,1856,Albany,NY,O,,,,,
James Dexter,1851,,Albany,NY,O,,,,,inactive 1854-1856
John Woodbridge Dickinson,1856,1858,Westfield,MA,O,,,,,
Cyrus Dickson,1858,1860,Baltimore,MD,O,,,,,
Samuel Henry Dickson,1848,1851,New York,NY,O,,,,,
Israel S. Diehl,1856,1858,Sacramento,CA,O,,,,,
C. Wentworth Dilke,1853,1855,London,England,O,,,,,
Charles Knapp Dillaway,1848,1851,Roxbury ,MA,O,,,,,
Robert Dinwiddie,1848,,New York,NY,O,,,,,
John Disturnell,1857,1859,New York,NY,O,,,,,
Epes Sargent Dixwell,1848,,Cambridge,MA,O,,,,,
Francis Donaldson,1858,1860,Baltimore,MD,O,,,,,
L. Doolittle,1857,1859,Lenoxville,Canada,O,,,,,
M. Alcide D'Orbigny,1848,1855,Paris ,France,O,,,,,
Robert Ogden Doremus,1856,1860,New York,NY,O,,,,,
Robert L. Dorr,1857,1857,Danville,NY,O,,,,,
C. C. Douglas,1848,1854,Detroit,MI,O,,,,,
Silas Hamilton Douglass,1851,1858,Ann Arbor,MI,O,,,,,inactive 1854-1856
George W. Dow,1859,,Chicago,IL,O,,,,,
J. Muir Dowie,1857,1859,Liverpool,England,O,,,,,
John Downes,1856,,Washington,DC,O,,,,,
John F. Doyle,1857,1859,Montreal,Canada,O,,,,,
Charles Drowne,1851,,Troy,NY,O,,,,,inactive 1854-1857
Julius Timoleon Ducatel,1848,1849,Baltimore,MD,O,,,,,
George Duffield,1856,1859,Detroit,MI,O,,,,,
A. H. Dumont,1860,,,RI,O,,,,,
Lucius Cambell Duncan,1856,death,New Orleans,LA,O,,,,,
Robley Dunglison,1854,1860,Philadelphia,PA,O,,,,,
Christopher Dunkin,1857,1859,Montreal,Canada,O,,,,,
R. P. Dunn,1860,,Providence,RI,O,,,,,
T. C. Dunn,1860,,Newport,RI,O,,,,,
Charles H. Dupuy,1858,1860,Baltimore,MD,O,,,,,
Thomas R. Dutton,1848,1854,New Haven,CT,O,,,,,inactive1850-1851
James M. B. Dwight,1851,1854,New Haven,CT,O,,,,,
Theodore William Dwight,1851,1854,Clinton ,NY,O,,,,,
Timothy Dwight,1850,1854,New Haven,CT,O,,,,,
John H. Dwinelle,1857,1860,Rochester,NY,O,,,,,
William H. Dwinelle,1856,,New York,NY,O,,,,,
David Dyer,1856,1859,Albany,NY,O,,,,,
Elisha Dyer,1855,,Providence,RI,O,,,,,
John Day Easter,1851,1860,Athens ,GA`,O,,,,,
Seth Eastman,1853,1853,Washington,DC,O,,,,,
